epsilon,mlmc_estimate,mlmc_cost,std_mc_cost
0.001,10.450315097590753,3450819091.5,449872279201.97675
0.005,10.454695781166876,138894621.0,17994891168.079067
0.01,10.451187016104113,30013417.5,2247162606.766472
0.05,10.42840560886171,708840.0,11081897.78679356
0.1,10.407323026371058,139821.0,1363249.3309150806
