run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.006450042,1,2,3,100,0.09387164036291812,25304,1971.900660500052,3,"2704;649;112;20","0.08588911634283437;0.01472133078897613;9.083962846807314e-05;-0.006829646397360461","0.01526723185787662;0.006430073007687221;0.001636608058312207;0.0001685385179914575"
1,0.01,0.006887417,1,2,3,100,0.08770851362502896,29119,4145.558628020242,3,"3007;648;135;24","0.08253417082365377;0.01499103835618388;-0.004282455576506508;-0.005534239978302169","0.01492899055353438;0.006209580347460567;0.001723886452009303;0.0003543212502581404"
2,0.01,0.006516708,1,2,3,100,0.0806584921771407,31666,3194.749248097137,3,"2962;788;142;26","0.08158845453569563;0.009280794048965559;-0.007225124946742683;-0.002985631460777812","0.01376791876552728;0.008016273752565608;0.001973161824949948;0.0002730554912903536"
3,0.01,0.010867208,1,2,3,100,0.08249767775793873,56545,7473.786503830466,4,"3777;1020;161;27;5","0.08347394208255976;0.01454588594764184;-0.003900539926168204;-0.01026945237291457;-0.001352157973180083","0.01306122571227412;0.007620545437925812;0.001507649392613807;0.000325294823483632;7.98310884835555e-05"
4,0.01,0.003845542,1,2,3,100,0.08099458948256072,22990,1282.038245272325,3,"2398;622;100;18","0.08086849362204122;0.01113062745624454;-0.005871386498858039;-0.005133145096867012","0.01294772591936784;0.007023284333299122;0.001384598047414472;0.000109575918399344"
