run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,9.162631416,1,2,3,100,0.08310883791938165,70331960,7306233.352765135,7,"1379256;355832;60507;9534;1578;265;65;12","0.08291400114471689;0.01112036779986326;-0.002817860298312057;-0.003445816687362476;-0.002146891549938274;-0.001216123824024107;-0.0007870154263309549;-0.0005118232392306282","0.0137296578761212;0.007358584563641467;0.001698265942362264;0.0003502892011504189;7.789016688792553e-05;1.618601306434927e-05;6.472686587538185e-06;1.524199143581218e-06"
1,0.001,3.285760959,1,2,3,100,0.08405386709378251,25840667,2156395.420279406,6,"841835;218222;36945;6062;982;172;31","0.08309163429733245;0.01080644269733884;-0.002973586082275164;-0.002980291550794167;-0.00251799440173286;-0.001128999817661911;-0.0002433380484246684","0.01376784658169363;0.007415294871933245;0.001701965503740773;0.0003636333143719482;7.534390576310829e-05;1.836563868833421e-05;3.598874840666181e-06"
2,0.001,3.084512542,1,2,3,100,0.08337974708181431,24517047,2455258.201308296,6,"818215;211978;35597;5853;932;162;29","0.0828858653048298;0.01096121079526201;-0.002962245241049316;-0.003685163935299369;-0.002441645579543306;-0.001333888906080696;-4.438535630479397e-05","0.01375057368413931;0.00735277767366066;0.001655892821334491;0.0003511980721045749;7.147824366524236e-05;1.577986288124136e-05;4.097656155698391e-06"
3,0.001,7.982569333,1,2,3,100,0.08399416458476072,60901098,1510369.992393075,7,"1270914;331509;55819;9204;1392;256;52;10","0.08286538238299632;0.0107902172063273;-0.002668164744624001;-0.003428187523076779;-0.001814232613770529;-0.001095337884360519;-0.0006926088943009902;3.709665556991676e-05","0.01372198827832292;0.007389454451225785;0.001676920907318155;0.000358669932642411;7.178365696524913e-05;1.733780428067388e-05;5.325177048359682e-06;3.150877528466889e-07"
4,0.001,5.70914625,1,2,3,100,0.0819627637537312,44379789,868375.811477166,7,"1086877;282638;47178;7811;1264;224;34;6","0.08291791012059017;0.01072730252459513;-0.002742098822541111;-0.003603100945870863;-0.002345167604878099;-0.001349571014956648;-0.001242756468006518;-0.0003997540352008479","0.01368047229235501;0.007441588764627777;0.00165783722876889;0.0003507105328108071;7.362827987086731e-05;1.821398813193498e-05;3.090633640670522e-06;1.81157322009051e-07"
