run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.004128792,2,2,3,100,0.09391669529933265,38107,9827.921063236241,2,"6387;1621;293","0.08304623063109481;0.01240851227534492;-0.001538047607107093","0.01367915155130961;0.007006897358568749;0.001682863195759631"
1,0.005,0.003787917,2,2,3,100,0.093305945302203,36688,8607.167732112008,2,"6448;1644;267","0.08426698717719146;0.01227798257501626;-0.003239024450004715","0.0142258117893577;0.007363556558129862;0.00147383009111507"
2,0.005,0.004362792,2,2,3,100,0.08831094804134994,40624,8344.539059587567,2,"5792;1986;296","0.08047161036102597;0.01118372343659702;-0.003344385756273064","0.01221993245152081;0.007307875832479561;0.00142885942801157"
3,0.005,0.004099083,2,2,3,100,0.09099614856571048,38929,8808.7775414077,2,"6625;1774;283","0.08152569668206479;0.01104993663500958;-0.001579484751363893","0.01291843878397721;0.007112949446648256;0.001508352318734195"
4,0.005,0.004668458,2,2,3,100,0.08515327843869017,41846,10065.86709754119,2,"6606;1997;301","0.08339858117595482;0.009085882253687842;-0.007331184990952484","0.01385567617267695;0.007596148055177322;0.001723607379715957"
5,0.005,0.004902875,2,2,3,100,0.09414996604392474,46057,8399.768451419151,2,"7969;2209;319","0.08387528376186748;0.01047149148157967;-0.0001968091995224174","0.01422029655903267;0.008351526367083086;0.001438316515653964"
6,0.005,0.005097917,2,2,3,100,0.09279830821584348,45712,11346.3700842434,2,"6808;1815;381","0.08388516518676473;0.01069918900858547;-0.001786045979506718","0.01430708216494802;0.007126303758905761;0.001942871589767706"
7,0.005,0.003880959,2,2,3,100,0.09275596954166127,36017,7649.461581403547,2,"6329;1775;242","0.0820833159201825;0.01089608093426792;-0.0002234273127891548","0.01379663992186069;0.008389093772877571;0.001309839311884169"
8,0.005,0.004120375,2,2,3,100,0.08154645502984519,40024,9932.731432023193,2,"7288;1772;290","0.08222874492000329;0.006878906565725899;-0.007561196455883998","0.01345610394514091;0.007961555157965591;0.0017008101767163"
9,0.005,0.003926875,2,2,3,100,0.09024648579985561,36902,8619.119637518115,2,"6502;1688;264","0.08455929402759214;0.007531769324820529;-0.001844577552557062","0.01450343517315933;0.007519050749113992;0.001475876650259951"
