eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8
0.01,0.08401079370661825,35012,5451.938451894569,0.007060042,3252,802,164,29,nan,nan,nan,nan,nan,0.08529610416797237,0.01385060649824217,-0.01139691661688202,-0.003739000342714285,nan,nan,nan,nan,nan,0.01482691202406887,0.007013791764681107,0.00198068522733613,0.0004659776454610743,nan,nan,nan,nan,nan
0.01,0.09268144435664447,22885,3672.326993221641,0.00423825,2557,653,100,17,nan,nan,nan,nan,nan,0.08393722260682042,0.01464135012586501,-0.0009908721054361824,-0.004906256270604785,nan,nan,nan,nan,nan,0.01398905642126517,0.007582255682539853,0.001231565818320056,0.0003138741019847556,nan,nan,nan,nan,nan
0.01,0.08659948108061742,62571,7009.412869443669,0.011261708,4195,1097,151,30,6,nan,nan,nan,nan,0.08318479738487944,0.01221559135510024,-0.00153474678195794,-0.007167796084383899,-9.836479302041505e-05,nan,nan,nan,nan,0.01454611926080089,0.008121022022422594,0.001331075541948127,0.0003088480028149459,7.487089157705264e-05,nan,nan,nan,nan
0.01,0.08477458893433369,23194,3203.928484898176,0.003448042,2442,642,100,18,nan,nan,nan,nan,nan,0.08449132078407662,0.01133191223044807,-0.005479910316351797,-0.005568733763839207,nan,nan,nan,nan,nan,0.01319140734451746,0.007066362883078145,0.001385803959444245,0.0002738400414442886,nan,nan,nan,nan,nan
0.01,0.09238274990619137,32279,7663.016774962715,0.004944083,3023,697,122,31,nan,nan,nan,nan,nan,0.08355038826635214,0.01101846867623427,-0.0008413464179305228,-0.001344760618464519,nan,nan,nan,nan,nan,0.01401725692217537,0.006187411105486738,0.001441770765989492,0.000654958698714762,nan,nan,nan,nan,nan
0.001,0.08348110213285062,42188067,2652164.601151812,5.472765291,1040067,269036,45428,7469,1213,185,33,6,nan,0.08283648194433789,0.01103278673383682,-0.002939177440524222,-0.00330767265767779,-0.001682389131026693,-0.001200676073906653,-0.00115613937420296,-0.0001021118679857755,nan,0.01371021289721999,0.00731430205061114,0.001678299805836744,0.0003605065501267723,7.72550933404264e-05,1.392134429868283e-05,3.592195957697815e-06,5.532846842596547e-07,nan
0.001,0.08277201324566942,50241633,2327730.993908922,6.585320625,1164097,303268,50016,8208,1390,256,40,7,nan,0.08300453067294794,0.01087381492941611,-0.002674782935210583,-0.00350621065748265,-0.002574624192624518,-0.00145224600986555,-0.0007259854602869651,-0.000172483101224368,nan,0.01380502678770512,0.007443086649412019,0.001632589916942817,0.0003452205989897246,7.675068833396945e-05,2.018557342624786e-05,4.682374238977585e-06,4.856025555302967e-07,nan
0.001,0.08289240530135046,57507765,4795714.865015809,7.483756708,1240517,321206,53849,8803,1480,235,58,8,nan,0.08311311717991726,0.0107444287869722,-0.00304795375158466,-0.003697109685664916,-0.002731184860231115,-0.00122656118981958,-0.0005320355389318743,0.000269704360693147,nan,0.01377096579151473,0.007377146883710427,0.001661301862204263,0.0003526092948986584,7.970264506129994e-05,1.674721351812185e-05,6.54133917078373e-06,1.000464143038957e-06,nan
0.001,0.08405197542928801,56293773,3401407.353863819,7.282381166,1225157,315441,53257,8682,1399,237,47,9,nan,0.08309141138974444,0.01105949456122868,-0.002744533213963501,-0.003375900175720095,-0.001839326931887667,-0.001181315310252839,-0.0005691219878588785,-0.0003887329020021143,nan,0.01379724968646901,0.007335056211421286,0.00167654302190672,0.0003616732855480499,7.504240404071446e-05,1.680090625718732e-05,4.12239014114402e-06,7.095889120168852e-07,nan
0.001,0.08391310376567353,26467413,1207142.265900936,3.332129,853821,221171,37230,6077,1008,178,32,nan,nan,0.08334781103283348,0.01075581101829712,-0.00251975538844019,-0.003542351005901602,-0.002393310576998711,-0.001199761779283598,-0.0005353395348329669,nan,nan,0.0138796474444749,0.007425382886449067,0.001686918646153797,0.0003643681673516393,7.986095716863404e-05,1.838509327594165e-05,2.014636967320559e-06,nan,nan
0.0005,0.08305322769634199,185011930,11428808.26966304,23.831191667,4491522,1160019,195173,31777,5393,874,142,26,nan,0.08299880735958609,0.01099937077130347,-0.00271138554735996,-0.003539194724532074,-0.002429929535278172,-0.001313668367005984,-0.0006585854029556011,-0.0002921868574157933,nan,0.0137782618325819,0.007373523570785905,0.0016663559026827,0.000353672615344601,8.145335996915456e-05,1.762897676463528e-05,3.840574030757425e-06,5.960588355072733e-07,nan
0.0005,0.0839229817961632,332791007,24716269.70227591,43.878380334,5872743,1516943,255480,41435,6920,1203,175,30,6,0.08298640128486191,0.01101499255760713,-0.002594365524871393,-0.003273042795444582,-0.002071074179312778,-0.001072810809870248,-0.0005830512739973104,-0.00040358464363541,-8.048281917412386e-05,0.01379267019669072,0.007362126335801135,0.001670127949739342,0.0003514587230514955,7.824439676937117e-05,1.90055871470072e-05,3.114603079289696e-06,7.191720361730398e-07,1.61131740738624e-07
0.0005,0.08381145722977006,218528705,27139260.60510507,28.338779583,4865369,1259253,211003,34716,5700,1010,146,37,nan,0.08291017534522055,0.01112089610663231,-0.002608568207769249,-0.003544155950294657,-0.002277899971683787,-0.001298367337613015,-0.0004076320069823015,-8.299074773979176e-05,nan,0.01372612032740428,0.007355982644136621,0.00165221524634851,0.0003571800885772147,7.656554959645606e-05,1.980864386791905e-05,3.251820096712435e-06,1.41542282372056e-06,nan
0.0005,0.08325450873175497,344731615,17234588.97631412,45.38137925,6053695,1565452,264985,43001,6976,1212,195,32,6,0.08296304848467008,0.0110888121054555,-0.002860561127656308,-0.003470345395748899,-0.002325170150879122,-0.0013926145489215,-0.000373952143683884,-0.0005602382464107631,0.0001855297549298515,0.01375616715330175,0.007348389051086736,0.001686046879384003,0.0003548107320244457,7.652485172803325e-05,1.856902155658222e-05,3.592945042239868e-06,8.540878590971451e-07,1.123567332821457e-07
0.0005,0.08330457183582149,209136308,7185197.963055901,27.064574584,4782292,1233276,209864,34026,5462,951,172,31,nan,0.08300979595540972,0.01097880131812058,-0.002867449297689627,-0.003525763017760053,-0.002286538947987268,-0.001138112042295134,-0.0006159354127597428,-0.0002502267192169901,nan,0.01378797177489288,0.007343546486727668,0.001687689991278049,0.0003527545759589673,7.379422002391012e-05,1.783482014202932e-05,4.203283989514976e-06,3.747372980362899e-07,nan
