run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,65.445692166,1,2,3,100,0.1008034773390008,261927302,27055779.71141122,6,"10721718;2687730;354217;57451;9972;1742;304","0.1660062502848643;-0.05168291497430177;-0.01059143824087841;-0.002438172454902473;-0.0007058458252508546;-4.359854636697281e-05;0.0002591970958369309","0.0551263410698496;0.02768359975499928;0.003851000463523329;0.0008103188213907069;0.0001941502880659826;4.755756378307886e-05;1.128855635454233e-05"
1,0.0005,69.420105291,1,2,3,100,0.1003035020520969,278040908,23448789.66928075,6,"11069820;2771762;364281;59696;10251;1881;333","0.1660715092126832;-0.05152810981388917;-0.01048315233316599;-0.002596521662505464;-0.0007498002420243115;-0.0002907000099883532;-0.0001197230990130462","0.05514194523432437;0.02765955752415432;0.003832812040439044;0.0008189511611008536;0.0001994711576972196;4.869099652946533e-05;9.783602115737328e-06"
2,0.0005,73.417669125,1,2,3,100,0.1007743931257704,292270390,34139568.17230083,6,"11344838;2836238;375508;61148;10751;1880;371","0.1659017993250403;-0.05154773573117411;-0.01048066246910986;-0.002401176422087747;-0.0006410786601601924;1.674317664357101e-05;-7.349609338159043e-05","0.05507504472338964;0.02756147257605864;0.003862472718998392;0.0008200675260159973;0.0002037339585287007;5.046358570299446e-05;1.424414462800401e-05"
3,0.0005,66.4369935,1,2,3,100,0.1005599846879223,265001173,28276253.21415176,6,"10801605;2706818;356412;58446;10043;1752;310","0.1660562698328652;-0.05173725572791545;-0.01051527967845088;-0.002448805199805713;-0.0005086758787271414;-0.0001397572881613225;-0.0001465113718824319","0.05514971619876445;0.02771543013660232;0.003836284060353623;0.0008164937456209829;0.0001950675167211607;4.752531074189623e-05;1.179777782447844e-05"
4,0.0005,67.50798825,1,2,3,100,0.1004471796275413,269805733,24317746.89819151,6,"10900357;2735340;359687;59190;10008;1803;319","0.1659831213676713;-0.05174632212784391;-0.01053829963079428;-0.002355417806961635;-0.0007085830203603269;-0.0001603279851341063;-2.699116903570123e-05","0.0550559019806724;0.0277816759912245;0.003850904962996271;0.0008294828473981787;0.000190437543371101;5.164312105315992e-05;1.01461594972978e-05"
5,0.0005,68.62389329200001,1,2,3,100,0.1005795299724677,271254398,24372354.12341047,6,"10935342;2737858;361597;58769;10155;1814;321","0.1660934362453148;-0.05157407834201921;-0.01064737550560091;-0.002516602635793785;-0.0007161068787543168;5.598105857806323e-06;-6.534101653658896e-05","0.05514485317378053;0.0276723681310185;0.0038495480372447;0.000811429925275785;0.0002027535257109415;4.93130897438638e-05;1.016894341799143e-05"
6,0.0005,68.93417225,1,2,3,100,0.1006767769971661,269170148,24094716.17455636,6,"10899020;2728155;361587;58674;10110;1793;317","0.1659978808744666;-0.05159425775570437;-0.01041018610208306;-0.002481000789140277;-0.0006625708994000134;8.444791736048257e-05;-0.0002575362483333139","0.05515589221530454;0.02766837965250361;0.003871592925703693;0.0008223671113290295;0.0001918208759026611;5.084211267275691e-05;1.005310378353147e-05"
7,0.0005,73.234363625,1,2,3,100,0.09993969923655432,284739254,22808752.25830791,6,"11185518;2813145;369938;60279;10616;1934;342","0.1658627477911705;-0.05174744435050041;-0.01077643611914035;-0.002475754506912069;-0.0006232351827852739;-0.000366347488738017;6.616909345994166e-05","0.05493496775213065;0.02774939231129149;0.003845046719863301;0.0008257078541777354;0.0001975106185874464;5.467177830660186e-05;9.516557570732589e-06"
8,0.0005,69.73135658299999,1,2,3,100,0.1008233123813482,276331078,30466937.90756918,6,"11030374;2763092;364793;59729;10136;1789;340","0.1660290945362827;-0.05165342296064443;-0.01040719825682083;-0.002477125975439714;-0.0005645532019001282;4.831706541930026e-06;-0.0001083134666713274","0.05507303366440369;0.02765782507268566;0.003854778679039987;0.0008262879240410326;0.000190377672547515;4.692824408913194e-05;1.271180314108189e-05"
9,0.0005,72.137881541,1,2,3,100,0.1004859369058097,285750620,33663672.61510335,6,"11219844;2810723;371947;61006;10521;1857;355","0.1659945245129837;-0.05165959993149606;-0.01039595768622801;-0.002415353205412508;-0.0007613956238210767;-0.0001901918536076995;-8.60893066086353e-05","0.0551185789626429;0.02767148336559875;0.003878854330252502;0.0008359038126516036;0.0001991536928982903;4.920600276202464e-05;1.4045585433865e-05"
