run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.169022458,1,2,3,100,0.1019009521516611,708599,97124.54559303918,4,"55271;14202;1897;337;60","0.1651324814437723;-0.05309238239122313;-0.008841470012201931;-0.002640969390337635;0.00134329250165147","0.05344903569098693;0.02844514277698531;0.003993264703182953;0.001024862212292018;0.0002593584319403952"
1,0.005,0.150351375,1,2,3,100,0.104727331642456,633630,58033.08895317715,4,"52902;13287;1661;295;53","0.1660550926065284;-0.05253489519480222;-0.00770296982450252;-0.001171302721877299;8.14067771096675e-05","0.05581155771372441;0.02828553844961838;0.003449035501436578;0.0007336050658844293;0.0001549697953246559"
2,0.005,0.163445333,1,2,3,100,0.1011891990151315,686153,86291.47319111675,4,"54721;13745;1852;323;58","0.1654094686535269;-0.04968083505771499;-0.01213542378359258;-0.003894994632008996;0.001490983834921155","0.05425241896450007;0.02773000805486686;0.00394503464812039;0.0008761471603288233;0.0002304301249495747"
3,0.005,0.171380583,1,2,3,100,0.09847432498465979,713967,103296.2526772262,4,"55399;14065;1852;251;73","0.1648261925242181;-0.052984948344008;-0.01074828559190932;-0.003601907247187804;0.0009832736435468022","0.05378945882913461;0.02755308550900161;0.003899808666052335;0.0006020676038547484;0.0002758391707894312"
4,0.005,0.153544167,1,2,3,100,0.1015869298471183,607536,66164.29313339505,4,"50328;12939;1761;274;49","0.1642771634850331;-0.05001516517779702;-0.009609147950039072;-0.003892813543824675;0.0008268930337459674","0.05251888753787953;0.02773803704526444;0.004211576146423473;0.0007873893686557718;0.0001766831156093651"
5,0.005,0.247458875,1,2,3,100,0.102073060191773,564849,62530.14117141705,4,"50097;12768;1703;241;44","0.1673248057262346;-0.05224766536362752;-0.01268225002592441;-0.0003982748813523957;7.644473644270378e-05","0.05578084562925961;0.02904568768545046;0.004106598152770005;0.0006584033899817629;0.0001669785867640917"
6,0.005,0.16347775,1,2,3,100,0.1014079508808288,681864,79571.93930806643,4,"54952;13876;1741;326;58","0.1674728596218142;-0.05252095119259939;-0.01003923291045542;-0.001649305342915331;-0.001855419295015335","0.05635356170724885;0.02910630277109922;0.003507955291552688;0.0008895544171379051;0.0002124864860822111"
7,0.005,0.163824042,1,2,3,100,0.1026291460461118,686795,33184.00841592637,4,"55539;13787;1812;327;58","0.1654806845507313;-0.05121720796753081;-0.01010111586471751;-0.001499999422560565;-3.321524981065898e-05","0.05565903951670856;0.02720896809721642;0.003799845594095785;0.001000134699532139;8.861356658813921e-05"
8,0.005,0.42626,1,2,3,100,0.1089370070378976,1661754,211826.5491361911,5,"85514;21446;2788;507;92;18","0.166609721081428;-0.05174515279140155;-0.008241878529091246;-0.001560169135569824;0.001799912512873702;0.002074573899658487","0.05557375676527532;0.0281473059283479;0.003773427676383482;0.0009997413992996172;0.0002455357941135273;7.070500852365586e-05"
9,0.005,0.201018667,1,2,3,100,0.1100427033120952,748078,116243.3426409563,4,"57014;13863;1841;327;72","0.1672094688155702;-0.04908799979933805;-0.007947682716691322;-0.0002997620540259797;0.0001686790665803633","0.05492016982662725;0.02605160697331677;0.003539973890041734;0.0008690059939948259;0.0003104126859670911"
