run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,18.811414792,1,2,3,100,0.101245115619935,73311260,8890375.852657197,6,"2840340;709753;94725;15340;2709;462;94","0.166144431420323;-0.05131747791547418;-0.01073196981497788;-0.002600018063474121;-0.0009892559970405884;0.0001525052053548002;0.000586900785224","0.05505776941950796;0.02753215424299041;0.003928798508468374;0.0008158967682106021;0.0002085658236461999;4.717228108359196e-05;1.483742252431999e-05"
1,0.001,17.605825292,1,2,3,100,0.1003654148669757,68934705,7629682.78948549,6,"2737489;683412;90737;14799;2663;448;83","0.1659463438799392;-0.05133063175968174;-0.01035689878628381;-0.002616292790587346;-0.0008694044921005861;0.0001348715580499409;-0.0005425727423599686","0.05514663753400204;0.02741051537344079;0.003875666348192001;0.0008112876408205561;0.0002108869268611135;4.436125410004706e-05;1.273341297941789e-05"
2,0.001,19.423166,1,2,3,100,0.1009951337269286,76371249,10321962.94500285,6,"2898305;726998;95860;15672;2741;474;102","0.1662587823153918;-0.05200839288113569;-0.01025544788611811;-0.001988809237051391;-0.0004595814905244067;-0.0001267433953682448;-0.0004246736982653743","0.05530437486274761;0.02784496497441162;0.003872210707918676;0.0008263505235932747;0.0002028777132775078;4.719447696399943e-05;1.722664238650911e-05"
3,0.001,16.378462709,1,2,3,100,0.1014809364167101,64158902,4842606.102183551,6,"2661926;667074;88042;14155;2502;416;74","0.1662556983166072;-0.05182794666745118;-0.01036147554898026;-0.002178513673160423;-0.0004916073667547455;-0.0001522964819381173;0.0002370778383875762","0.05531477996259827;0.02778257461631989;0.003860703018420498;0.0008139497047692416;0.0001952012418373779;4.206920082276739e-05;8.081974716003962e-06"
4,0.001,33.380562084,1,2,3,100,0.1001469543760356,127235916,8312020.981289419,7,"3736220;934590;124099;19711;3459;606;100;18","0.165976379863123;-0.05148385560027526;-0.01090850445520721;-0.002320267654075616;-0.0008275146970843787;0.0001258972413403349;-0.0008514549004734543;0.0004362745786881895","0.05515818852202418;0.02766896491911056;0.00393096759532358;0.0007903572442842613;0.0001996480650766586;4.923822155682888e-05;1.049432764655709e-05;1.734022806199537e-06"
5,0.001,19.122027959,1,2,3,100,0.09993467585897818,74242626,9405967.94952354,6,"2854026;717159;93962;15664;2690;479;95","0.1659851536343957;-0.05175091344787475;-0.009889318272205299;-0.002665881267917433;-0.0007452379443676352;-0.0007563584122224201;-0.0002427684308300189","0.05505447287072734;0.02778826149196982;0.003824926855074882;0.0008500389203148162;0.0002001131988269403;5.020351674176874e-05;1.569791008054851e-05"
6,0.001,17.707492208,1,2,3,100,0.09997627057784494,68241039,5230631.211701312,6,"2734015;685858;91207;14410;2619;453;81","0.1660155758782376;-0.05181977257838791;-0.01077335242149906;-0.002275611724042897;-0.0006489640383857194;-0.0003122451828803466;-0.0002093593551967806","0.05507176686649032;0.02776244093700107;0.003885457685251121;0.0007889869446651727;0.0002110879590223833;5.092409834117299e-05;8.729561791666214e-06"
7,0.001,18.033933417,1,2,3,100,0.09997083302670315,69953740,8016182.875517515,6,"2772636;694974;91641;14923;2579;442;88","0.1658067486239458;-0.05124439900096869;-0.01065739165515608;-0.002880725956649694;-0.000482435570796531;-0.0002660103960449242;-0.0003049530176267904","0.05498863088780732;0.02762281024574421;0.00383551111623598;0.000815868015572821;0.0001936490531983393;4.536338355364386e-05;1.337845489633856e-05"
8,0.001,16.837296917,1,2,3,100,0.1012572314034447,65451818,6710500.247408826,6,"2683138;670117;88628;14558;2619;416;76","0.1661741573679254;-0.05130494985733463;-0.01070474611465141;-0.002860938218582454;-0.000519336720975746;5.210842778062518e-05;0.0004209365192829715","0.05534109596461107;0.02762221272291916;0.003845890686428943;0.0008328495945106285;0.000210458482437763;4.27588738933419e-05;1.119936087860669e-05"
9,0.001,19.265561333,1,2,3,100,0.1019437271868258,73246986,9398527.380916212,6,"2839330;712901;93767;15247;2738;427;98","0.1661585583316725;-0.05164177838942447;-0.01048345414095516;-0.001964865804053233;-0.0001717829992227538;0.0005300740789544536;-0.0004830238901454495","0.05522919558132892;0.02785177444155102;0.003852578236757131;0.0008130223863224405;0.0002050575835850622;4.1590011447393e-05;1.568549228606178e-05"
