run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.05,0.001118459,1,2,3,100,0.07733456230181138,8630,70.19259552237799,3,"406;100;100;2","0.1663788941796876;-0.05474006518926813;-0.005026108809060681;-0.02927815787954739","0.05873572835037601;0.03003252422218359;0.003463737182395565;0.0001499841784666196"
1,0.05,0.0010155,1,2,3,100,0.07900606387540272,8483,1.550700353980349,3,"259;100;100;2","0.1565068158342057;-0.06577718321445401;-0.01093002802124511;-0.0007935407231038165","0.03902096010377754;0.03316704360856208;0.002320937327704608;3.313462294829807e-06"
2,0.05,0.001115042,1,2,3,100,0.07663559692837266,9199,507.1300254700386,3,"367;112;100;3","0.1615577951994074;-0.05391101928699616;-0.01087521507619264;-0.020135963907846","0.04634970662050444;0.03237760722739066;0.003406455398240881;0.001083611165534271"
3,0.05,0.001093542,1,2,3,100,0.1084713756321381,9111,24.60327913810186,3,"375;100;100;3","0.1594799415490246;-0.04538299783569938;-0.01132737148753982;0.005701803406352707","0.05000400284464726;0.02814706137567691;0.00511955956507866;5.257110926944844e-05"
4,0.05,0.001060042,1,2,3,100,0.1121726375356027,8491,6.863490139817118,3,"267;100;100;2","0.1521279043197601;-0.02465342086455867;-0.008310387683714839;-0.00699145823588388","0.0468890063511039;0.02814316731026476;0.002953430306023851;1.466557722183145e-05"
5,0.05,0.001113,1,2,3,100,0.1245369397279128,9137,26.0703026720924,3,"401;100;100;3","0.1724214800304293;-0.03359077730458413;-0.01977625856569214;0.005482495567759732","0.05795572891406997;0.01602468029167611;0.004614289038722704;5.57057749403684e-05"
6,0.05,0.00112125,1,2,3,100,0.1187553770006707,9245,67.93262223131438,3,"421;111;100;3","0.1826169735283757;-0.0503028353792403;-0.008226944408991188;-0.005331816739473518","0.06364582345229403;0.03300341481659907;0.004629205315460162;0.0001451551757079368"
7,0.05,0.001102916,1,2,3,100,0.143104989824564,9160,609.7981251254243,3,"424;100;100;3","0.179759703168;-0.06341760039548995;-0.005204548799842798;0.03196743585189678","0.06374119056700213;0.02415990052164207;0.00443957833446254;0.001302987446849198"
8,0.05,0.001731917,1,2,3,100,0.1157392062409585,12715,0,4,"395;100;100;2;1","0.1628254495522845;-0.05611486702932897;-0.01116898405616247;0.0357718286733022;-0.01557422089913678","0.06143010688299172;0.03176299005188044;0.003450007984384663;0.0001449670926753005;0"
9,0.05,0.001113875,1,2,3,100,0.08880461993752192,9130,358.9643917331264,3,"394;100;100;3","0.1627403087615758;-0.06404178919370422;-0.01055299667494074;0.0006590970445910805","0.05960697348753755;0.01929626510295671;0.004121490450455956;0.0007670179310536891"
