run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.019872,1,2,3,100,0.1032070076013038,162471,21173.63653613102,4,"13255;3212;442;66;15","0.1665255970443187;-0.05170182830459515;-0.006378064488441954;-0.004852438397454099;-0.0003862582525236729","0.05580056052681055;0.02613278539475258;0.003998303682041227;0.0006497335742884781;0.0002261657395442322"
1,0.01,0.014200041,1,2,3,100,0.1047097201912167,116095,2837.411244112448,4,"11463;2751;347;46;9","0.1679466415700114;-0.05395768967664957;-0.009089072126025173;-0.001268843624113617;0.001078684047993605","0.05812154767946556;0.02758629344533091;0.003412994310073199;0.0004537701112021296;3.030774667926136e-05"
2,0.01,0.025414375,1,2,3,100,0.1025466862819219,207667,13860.09178019913,4,"15075;3746;469;107;19","0.1648895617172543;-0.04780103009961195;-0.01122879284347333;-0.002554303628185555;-0.0007587488640615153","0.05433965782473135;0.02747941559022633;0.003033709089826754;0.001403575493796144;0.0001480462698162694"
3,0.01,0.026134834,1,2,3,100,0.08989971484270962,213569,13315.76797069084,4,"14857;3719;496;116;19","0.16319813381363;-0.0510285417899697;-0.006527784565530403;-0.01285833936308995;-0.00288375325233028","0.05210120873715463;0.02833905218698095;0.003660451580140365;0.001855319663070314;0.0001422320868477979"
4,0.01,0.020526583,1,2,3,100,0.09899421023076821,170715,7578.259743176174,4,"14019;3419;493;79;14","0.1665950178255897;-0.05832393191887593;-0.01023048511988978;-0.001383853623407801;0.00233746306735204","0.05759534135530028;0.02907190512881964;0.004168590929981755;0.0008732297317975206;8.094701712429155e-05"
5,0.01,0.021935458,1,2,3,100,0.09919778169374148,179067,16411.61674410265,4,"14027;3726;489;83;15","0.1666832046760723;-0.05296453026085679;-0.01023912979655746;-0.004132152484940312;-0.0001496104399762188","0.05425402295211167;0.02982053421359558;0.004497503833678618;0.0008013923810426042;0.0001753003283924658"
6,0.01,0.02233275,1,2,3,100,0.1056213742723601,183941,16040.42281469778,4,"13821;3441;516;86;16","0.1633320848423684;-0.04659208059434908;-0.009399005235049928;-0.005263319828085315;0.003543695087475971","0.05281504263331136;0.02615895293242934;0.004363315205500762;0.0009449984051972995;0.0001713354284842745"
7,0.01,0.024209,1,2,3,100,0.09513261101071789,196645,34720.01167808411,4,"14701;3759;477;77;20","0.1653203162594641;-0.05397208231606122;-0.010665708852967;-0.001295068835870718;-0.004254845243847265","0.05561872943263747;0.02874348218753741;0.003648656110565548;0.0007417950493408052;0.0003708610518915201"
8,0.01,0.021517541,1,2,3,100,0.09818370520430465,173982,16527.72608903108,4,"13630;3396;425;63;18","0.1664801395514387;-0.05028643967580487;-0.009007623154296812;-0.003992453134811213;-0.005009918382221149","0.0552124900122606;0.02788136943229803;0.003093423760651436;0.0007173893149859;0.0001765405478426733"
9,0.01,0.020353459,1,2,3,100,0.09114735246235341,169060,13287.84319619543,4,"13764;3356;479;79;14","0.1693109655343297;-0.05540817562586245;-0.01580948373217106;-0.001892745001338741;-0.005053208712604021","0.05824193334864786;0.02844102170835293;0.004734558193896198;0.001045226854607807;0.0001419338089745293"
