run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,8.388515249999999,1,2,3,100,0.101404049660497,65506738,5433757.345714146,6,"2688154;671539;88662;14661;2631;422;75","0.166015080956231;-0.05148562967578749;-0.01028681124107172;-0.002295513735193011;-0.0006244017497232467;0.0004334270750618078;-0.0003521019690203118","0.05517454149029389;0.02769034516971479;0.003880967539840489;0.0008639420407211231;0.0002118673821560214;4.647319738545736e-05;9.068565263063799e-06"
1,0.001,7.944061583,1,2,3,100,0.1013356969671406,62118337,5126414.203108819,6,"2609889;655396;86391;13844;2416;401;71","0.1661167493317742;-0.05135844561656031;-0.01064513704530397;-0.002522334206946725;-0.0008332517856287834;-1.934306154676316e-05;0.0005974593513528808","0.0551245329707856;0.02763818303091967;0.003877494635999536;0.0007987430651546145;0.0001873887865247016;4.44764322879456e-05;8.555630810981597e-06"
2,0.001,10.290688083,1,2,3,100,0.0992212020733361,78904749,3791451.956481318,6,"2944269;740396;98109;16072;2781;555;99","0.1660320118805238;-0.05158404338481343;-0.01037653604949379;-0.003069318210436443;-0.001270014906491985;-0.0001155022991170347;-0.0003953949568349923","0.05515843293776758;0.02777030399393972;0.003897728479092091;0.0008341336278083825;0.0002000670026478477;6.100629263134552e-05;6.327671134641526e-06"
3,0.001,8.156155125,1,2,3,100,0.09989744986949962,63741582,6369211.371683098,6,"2643990;662383;87508;14427;2356;428;73","0.1658051269389262;-0.05152201883374483;-0.01078133848891366;-0.002425879127122618;-0.0007294957755273924;-0.0005023335331042402;5.338868898617331e-05","0.05499861149526238;0.02764228193820782;0.003854824972628071;0.0008351453897170753;0.000178526695315064;4.634369636216025e-05;1.06297733453103e-05"
4,0.001,8.863053875,1,2,3,100,0.1018545357178066,68843763,3486017.167985287,6,"2754203;689635;90597;14845;2589;460;82","0.1662407058930193;-0.05160115234576547;-0.01044065855483151;-0.00238669067111653;-0.0003913198321752575;0.0002347568886674984;0.0001988943400085794","0.05525776925470741;0.02767537512213926;0.003831988745198378;0.0008135192080452252;0.0001961111345349547;5.227963054444226e-05;5.817921593604136e-06"
5,0.001,9.534259875,1,2,3,100,0.09997037495104495,74193642,8034861.73675003,6,"2858194;718075;94665;15578;2699;516;90","0.1659172738274711;-0.05186187351397167;-0.01045684644632487;-0.002678876781008577;-0.0007253621902665636;-0.0007702164826592668;0.0005462765378047719","0.05509499857419279;0.02781879620601709;0.003867523654430759;0.0008393968522153903;0.0002023425852350999;5.835362782582916e-05;1.340962862408339e-05"
6,0.001,8.118796416,1,2,3,100,0.101496326226954,63852784,6359778.939535897,6,"2646752;663762;87758;14402;2507;412;73","0.1661338803663119;-0.05160709234205535;-0.01029906188128084;-0.00260127955484642;-0.00053485755829178;-2.809939424448236e-05;0.000432836591360983","0.05513507102741708;0.02774146216677934;0.003882935575356466;0.0008360955834337032;0.0002025997283929286;4.297354521538073e-05;1.061403126831384e-05"
7,0.001,8.875086375,1,2,3,100,0.09992798047820987,69708279,8469691.672902459,6,"2772343;695112;91169;14869;2541;449;87","0.166053170590538;-0.05162235826932168;-0.01024701297024109;-0.002673031350911069;-0.001067603288807725;-0.0003070624449622134;-0.000208121788084358","0.05526464413734063;0.02779192058738185;0.003823696994157676;0.000813449777611183;0.000189667859840247;4.708171672370979e-05;1.413532971882263e-05"
8,0.001,8.436218125,1,2,3,100,0.1018449888486512,66342844,5088280.984273272,6,"2698116;678031;90111;14416;2628;431;77","0.1659651910484682;-0.05155071419302545;-0.01078596857071502;-0.002315484732457887;-0.000218840213889144;0.0004390906353310677;0.0003117148749393558","0.05516095553473809;0.02771482134183892;0.003949122410197812;0.0008056927312929922;0.0002011770444008212;4.638828129656773e-05;8.491989105675486e-06"
9,0.001,9.109669374999999,1,2,3,100,0.1008166856566573,71707568,8335855.638893327,6,"2805888;704966;93108;15528;2665;429;93","0.1658358869511732;-0.051697492246971;-0.0105139951168372;-0.002405718129060734;-0.000383521728123289;-0.0001422214998515618;0.0001237474263278217","0.05508609453720707;0.02778920349774041;0.003872570196702544;0.0008576172085912976;0.0002020448590044357;4.309610743357934e-05;1.391196663288749e-05"
