run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,71.28901399999999,1,2,3,100,0.100458589154194,284982241,35279129.37211294,6,"11202329;2809873;370353;59632;10496;1798;363","0.1660578916005598;-0.05159662221353964;-0.01063418127131791;-0.002627627643377869;-0.0005956609905065927;-0.0001198703643248925;-2.533996329889506e-05","0.05509227447160112;0.02771736851005299;0.003853328961406436;0.0007982386915462341;0.0001981260404960859;4.675143186701031e-05;1.471960683832439e-05"
1,0.0005,65.049293792,1,2,3,100,0.1003775506260292,262268774,23147083.12191094,6,"10756614;2694316;358472;57503;10273;1711;303","0.1659945281387674;-0.05160960035300634;-0.01061389798966571;-0.002384537739121212;-0.0005274970560225003;-0.0002082712719799806;-0.0002731731029424311","0.05514898627342431;0.02769530965456361;0.0039051058693468;0.0008048983991230591;0.0002012932335212434;4.585500629836501e-05;9.657720274635482e-06"
2,0.0005,69.015647667,1,2,3,100,0.100440669799263,276834945,27102442.65830195,6,"11036569;2770149;364231;59661;10749;1840;326","0.1660289411570474;-0.05163873054214463;-0.01036901069785489;-0.002643031167946022;-0.0005785344321875224;-0.0002581864334089438;-0.000100778084242419","0.05507727529430646;0.02769622611127107;0.003827366152529744;0.0008260570645258098;0.0002043128796671529;4.821638348183551e-05;1.130802566244119e-05"
3,0.0005,70.68122604200001,1,2,3,100,0.1008248765153232,281051545,21012408.64542766,6,"11122425;2793380;367278;60153;10731;1885;334","0.1659557066911425;-0.05156139617981927;-0.01052023422495414;-0.002576761991205982;-0.0004065995765408474;-0.0001911397982776999;0.0001253015949787123","0.05507107012296639;0.02778828387419408;0.003855954489665031;0.0008281409526906467;0.0002067622516756337;4.950850186338232e-05;8.767064252764439e-06"
4,0.0005,69.22709108399999,1,2,3,100,0.1005769965971459,275639717,23484511.94307763,6,"11008661;2762434;364220;59615;10053;1862;330","0.1660078595150945;-0.05159896249205153;-0.01056390525794439;-0.002329841388586052;-0.0005799398660156772;-0.0003527640314065692;-5.449881944334997e-06","0.05510662416930804;0.02768591418308636;0.003863588459667829;0.0008283425521516134;0.0001876704279083708;5.165775676084393e-05;9.798506616925974e-06"
