run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.017455166,1,2,3,100,0.09368633100193943,141825,14489.42869805614,4,"12089;3089;417;57;12","0.1670929585042455;-0.05659561306024693;-0.01035531027754912;-0.005482830107888425;-0.0009728740566215581","0.05364679899367966;0.02776750438412343;0.004124724061934536;0.0005802030364855295;0.0001547685184581942"
1,0.01,0.015432292,1,2,3,100,0.09776451819451763,127546,5810.234454947622,4,"11578;2960;370;54;10","0.166680274743013;-0.05472709916892851;-0.007513239952142497;-0.005413719966670792;-0.001261697460753589","0.05410419589048815;0.02760451399799773;0.003353448224437961;0.0005789333087952551;6.206189334487954e-05"
2,0.01,0.017065625,1,2,3,100,0.1031401748118994,136673,14360.60533076953,4,"12185;3073;385;51;12","0.1663128769792643;-0.05383611377892576;-0.01076258838448003;4.235298138932349e-05;0.001383647014651618","0.05624243921532346;0.02884094175981821;0.00319280457106559;0.0004636430934912675;0.000153392494453851"
3,0.01,0.024820333,1,2,3,100,0.09547534484704034,194500,24214.83807932764,4,"14564;3764;485;88;18","0.1660434080794298;-0.05574971506952534;-0.01415863859511122;-0.006061785106822506;0.005402075539069638","0.05513396955977491;0.02923252809144704;0.003967249996443127;0.0009778144395595778;0.0002586502678842945"
4,0.01,0.108656041,1,2,3,100,0.09232438552950586,786568,6.481334125217002e-14,6,"28336;7139;899;145;27;6;1","0.1667880949448211;-0.05447301093786611;-0.01089496802147106;-0.001153414871230523;-0.0001898421842258121;-0.008430825716801767;0.0006783523162800813","0.05588516782014061;0.02803592259420503;0.003625894892718192;0.0006802888949078475;0.0001976316207186816;5.715598347442356e-05;1.081689846761607e-23"
