run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,34.436926833,1,2,3,100,0.1005652869781505,271541014,29844965.79434987,6,"10930342;2737862;360977;58928;10088;1806;324","0.1660456068227416;-0.05164423231292153;-0.01061433515405973;-0.002626508000215228;-0.0004949448844290433;-0.000120687115052398;2.038762208687485e-05","0.05508435325328247;0.02764401005890903;0.00384345268136949;0.000819203905124956;0.000191931318790037;4.93039717456668e-05;1.245229602925881e-05"
1,0.0005,36.659422833,1,2,3,100,0.1005407201994954,288353312,34598265.92632723,6,"11268104;2821979;373101;60667;10707;1832;365","0.1659918436654037;-0.05169844469885284;-0.01053395209783226;-0.002745077109877565;-0.0006031939015978415;-0.0001040408591499202;0.000233585201402154","0.05508619775261522;0.02764444157121899;0.003865932639644494;0.0008179021041931923;0.0002027855081851904;4.742336643735177e-05;1.443552833607896e-05"
2,0.0005,188.38012475,1,2,3,100,0.1006367131726455,1417801504,164067980.3511824,8,"24923904;6246532;823824;134564;22981;4022;709;154;29","0.166019278815568;-0.05165622785272782;-0.01045376663085714;-0.002617129109828935;-0.0005708130718438366;-0.000102468294597671;0.0001954064674675507;-0.0001939355279421402;1.63683774075046e-05","0.0551397799699357;0.0276998244071011;0.003854366639647639;0.0008220312395875384;0.0001927111833931359;4.67670979668104e-05;1.208333443173187e-05;4.189812966542819e-06;1.069601505077527e-06"
3,0.0005,36.300368333,1,2,3,100,0.1005117806878193,283523449,30935368.12698207,6,"11177929;2799622;370966;60394;10445;1926;341","0.1659821572677984;-0.05155102235432637;-0.01054846528227874;-0.002459263430225295;-0.0007610429003745599;-0.0001936286379937786;4.304602521966189e-05","0.05511299186973038;0.02767849144832148;0.003881589010766055;0.0008199133127360095;0.0001980744944874927;5.308963434624315e-05;1.290724755208819e-05"
4,0.0005,33.737002,1,2,3,100,0.1007966273849465,261316790,25254924.10410033,6,"10726414;2685397;355088;57409;9898;1724;305","0.1660161240023128;-0.05163515136980551;-0.01038280641386292;-0.002590903154686275;-0.000576562439129839;-7.761784691376645e-05;4.354460703201121e-05","0.05509022928771563;0.02758105676750723;0.003855659587917015;0.0008129105945634153;0.0001882105012069252;4.572157386076394e-05;1.053718048489965e-05"
