run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.00481925,1,2,3,100,0.09229265556934824,21473,2724.474678233626,3,"2313;635;100;15","0.08433978335603214;0.01250437539885556;-0.003648400455841567;-0.0009031027296978873","0.01376500927086709;0.007443178307684313;0.001032813799164946;0.0002328610836097117"
1,0.01,0.006672333,1,2,3,100,0.08440342731097811,29586,6252.451107076566,3,"2762;657;129;26","0.07846477035315097;0.01006593674762983;0.0004191132631393825;-0.004546393052942072","0.01295221609346474;0.005854616216512083;0.001780281986484035;0.0005343975305193646"
2,0.01,0.00577425,1,2,3,100,0.09450823046828752,26516,5202.752642728845,3,"2836;752;100;22","0.08415888822682166;0.009863530736025078;-0.003980057719237291;0.004465869224678069","0.01512872368106519;0.008713788695314974;0.001152058854333048;0.0004446797130537475"
3,0.01,0.011376833,1,2,3,100,0.07683452660979515,47686,370.8026440190912,4,"3694;891;152;21;4","0.08456685150434512;0.01177018372534824;-0.01131088221526672;-0.007889199084322465;-0.0003024273203090407","0.01481862831502227;0.006507966587023231;0.001838265044101286;0.0002219880617400811;3.960720401827508e-06"
4,0.01,0.005309291,1,2,3,100,0.1048585886355654,24032,3641.930305396586,3,"2784;624;102;19","0.08617131290545015;0.01235979728655305;0.005230596516632663;0.001096881926929498","0.01534962105645272;0.006923849536115734;0.001390301403658423;0.0003112760944783407"
