run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.007610292,2,2,3,100,0.09133708198796882,37701,8525.011703888034,2,"6629;1780;263","0.08391714343194362;0.01038931144438575;-0.002969372888360553","0.01458677259839138;0.008359962519097066;0.00145976227806302"
1,0.005,0.009378375,2,2,3,100,0.09210076423909573,47935,8895.737813593425,2,"8663;2405;313","0.08277126806897384;0.009957843224346247;-0.0006283470542243457","0.01359918257724346;0.007651814292238958;0.001523242776300244"
2,0.005,0.007359375,2,2,3,100,0.08629916186320946,35145,8487.570163387716,2,"6113;1581;256","0.08173617827656354;0.009153079056875631;-0.004590095470229698","0.01343023487123567;0.007060193021071318;0.001453351055374609"
3,0.005,0.008200041,2,2,3,100,0.09241761339652518,39619,10183.48704379998,2,"6899;1738;294","0.08760237135761979;0.008281826260332706;-0.003466584221427316","0.01510839101304057;0.007402072585576625;0.001743747781472599"
4,0.005,0.008534125,2,2,3,100,0.08377870947132167,41144,11847.30142022485,2,"6360;1740;326","0.07928389611901564;0.01104701953948049;-0.006552206187174461","0.01230291701581108;0.007381032077127666;0.00202864750346316"
5,0.005,0.007142875,2,2,3,100,0.09130301644780359,35838,7935.264285786371,2,"6126;1682;254","0.08282000816193627;0.01345696836177053;-0.004973960075903213","0.01326843670287381;0.00775996069039945;0.001358778131127803"
6,0.005,0.007365375,2,2,3,100,0.0932820237990527,36733,8640.529060675899,2,"6125;1610;277","0.08188073634205724;0.01104055601284864;0.0003607314441468154","0.01340165891885575;0.007058430097068589;0.00147954264737601"
7,0.005,0.006700709,2,2,3,100,0.09877233192212624,33750,7329.339251039787,2,"6158;1497;244","0.08420990481470664;0.01506132524922332;-0.0004988981418037252","0.01452942322115795;0.006856631632031832;0.001255023844356128"
8,0.005,0.008064125,2,2,3,100,0.09265417681766394,41002,11149.64332856945,2,"6866;1771;312","0.08511339974923582;0.01332318850403404;-0.005782411435605915","0.01452111873385396;0.007238752819517409;0.001909185501467372"
9,0.005,0.008903833,2,2,3,100,0.09585460343071234,44050,11108.20732711532,2,"7402;1773;351","0.0834706832184119;0.01377308988008154;-0.001389169667781111","0.01473123855735934;0.007227829496065964;0.001902090295738925"
