run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,2.937913375,2,2,3,100,0.08348251068678696,12067793,1198026.075339559,5,"573777;149280;25246;4113;662;118","0.08290502387022806;0.01081737760843396;-0.002886754523697506;-0.00378395435814451;-0.00229925722475209;-0.001269924685280968","0.01369691010555905;0.007358369625458669;0.00169282051206708;0.0003630301080402099;7.405896113128273e-05;1.599543479584981e-05"
1,0.001,3.145257417,2,2,3,100,0.08510003660327363,12919265,1092159.261316626,5,"595177;153207;26085;4208;736;130","0.08293404433740087;0.01142483830935447;-0.002662705238150597;-0.003200558098281268;-0.002340186626907819;-0.001055396080142016","0.01377479220325675;0.007236270692027313;0.001705039619365579;0.0003488165606982005;8.097192447828901e-05;1.458195494294408e-05"
2,0.001,1.413767083,2,2,3,100,0.085853274852792,6006922,684519.5124428665,4,"407530;105236;17560;2937;520","0.08301649850309951;0.01072253063728861;-0.002516528224911844;-0.003250607536441895;-0.002118618526242386","0.0137638183558374;0.007355612846689483;0.001648737146378102;0.0003649688970730242;7.311680329447409e-05"
3,0.001,2.814052708,2,2,3,100,0.08459945387950742,11555663,1271731.404408201,5,"564095;147426;24523;3971;636;110","0.08315778076369118;0.01102722539624901;-0.002256586415443156;-0.003535685394754024;-0.002670219503744208;-0.001123060966491384","0.01381726407340718;0.007551284192238326;0.001665608927207141;0.0003457683029369478;7.168316203513593e-05;1.697951086021256e-05"
4,0.001,2.814104584,2,2,3,100,0.08447213360838822,11573483,926474.8858910081,5,"564923;146494;24561;4014;628;111","0.08326653221077274;0.01130054313698216;-0.002859159664255157;-0.003327338751323082;-0.002926547556567971;-0.0009818957672204579","0.01386412295548933;0.007417286719917372;0.001652815497325131;0.0003699823279025003;6.930707655598837e-05;1.236982143569933e-05"
5,0.001,3.224775083,2,2,3,100,0.0844521378868721,13237529,1765336.102586437,5,"605385;156042;26192;4264;717;140","0.083182743709589;0.01156362769993161;-0.002665365221698445;-0.003231223737516094;-0.002449308298810803;-0.001948336264623164","0.01385550538936886;0.007353166101996268;0.001661387761362318;0.0003500540103761341;7.998168870859705e-05;2.356986972397711e-05"
6,0.001,3.031500416,2,2,3,100,0.0838956442238461,12489648,1028491.395967033,5,"585512;150945;25542;4267;695;123","0.08281644121824548;0.01080699522713014;-0.00254480839047696;-0.003940872220880523;-0.00256978303944384;-0.0006723285707282028","0.01376207247218939;0.00734565022601875;0.001678131748064869;0.0003808369048994444;7.677873949460356e-05;1.373189398871843e-05"
7,0.001,3.064644541,2,2,3,100,0.08339940298443155,12404116,1517547.896880625,5,"584324;150658;25580;4030;664;128","0.08300871107933559;0.01101051815514355;-0.003278074692751782;-0.00365119236231963;-0.002672437906585836;-0.001018121288390351","0.01376755912550019;0.007329410183498742;0.001685484355536507;0.0003347745943321197;7.272370981551178e-05;2.026152763599329e-05"
8,0.001,3.400396791,2,2,3,100,0.08359109987222556,13540514,1755043.48445944,5,"609002;157335;26540;4393;742;143","0.0828696813709872;0.01089654740188666;-0.002700788050640553;-0.003392554575082501;-0.002418922297001899;-0.001662863977923337","0.01373828125878953;0.007350586955411932;0.00167000750362122;0.0003641701506001646;8.44202355675882e-05;2.34324479219664e-05"
9,0.001,1.4169155,2,2,3,100,0.08519177465364276,5977542,612532.2394895073,4,"407078;104164;17874;2906;514","0.08307067683662715;0.01097511408158776;-0.002816506731790906;-0.00393264449613777;-0.002104865036643479","0.01386011077436039;0.007289499081951478;0.001694680440734962;0.0003485355474618289;6.542749834325007e-05"
