run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,3.20920875,1,2,3,100,0.0835466562914195,202765293,7814045.344834441,7,"4728293;1217257;207115;32842;5734;944;164;29","0.08306745275867071;0.01093393015028254;-0.002892519551129334;-0.003529417565884048;-0.002246786225676391;-0.001140338798451056;-0.0004185287526972063;-0.0002271357236956963","0.01381220863998659;0.007316455131178686;0.001691766063568886;0.0003414155323627554;8.372397279855601e-05;1.82042912827472e-05;4.784707379621117e-06;4.075342466988791e-07"
1,0.0005,3.118342584,1,2,3,100,0.0835466562914195,202765293,7814045.344834441,7,"4728293;1217257;207115;32842;5734;944;164;29","0.08306745275867071;0.01093393015028254;-0.002892519551129334;-0.003529417565884048;-0.002246786225676391;-0.001140338798451056;-0.0004185287526972063;-0.0002271357236956963","0.01381220863998659;0.007316455131178686;0.001691766063568886;0.0003414155323627554;8.372397279855601e-05;1.82042912827472e-05;4.784707379621117e-06;4.075342466988791e-07"
2,0.0005,2.993459541,1,2,3,100,0.0835466562914195,202765293,7814045.344834441,7,"4728293;1217257;207115;32842;5734;944;164;29","0.08306745275867071;0.01093393015028254;-0.002892519551129334;-0.003529417565884048;-0.002246786225676391;-0.001140338798451056;-0.0004185287526972063;-0.0002271357236956963","0.01381220863998659;0.007316455131178686;0.001691766063568886;0.0003414155323627554;8.372397279855601e-05;1.82042912827472e-05;4.784707379621117e-06;4.075342466988791e-07"
3,0.0005,2.973825208,1,2,3,100,0.0835466562914195,202765293,7814045.344834441,7,"4728293;1217257;207115;32842;5734;944;164;29","0.08306745275867071;0.01093393015028254;-0.002892519551129334;-0.003529417565884048;-0.002246786225676391;-0.001140338798451056;-0.0004185287526972063;-0.0002271357236956963","0.01381220863998659;0.007316455131178686;0.001691766063568886;0.0003414155323627554;8.372397279855601e-05;1.82042912827472e-05;4.784707379621117e-06;4.075342466988791e-07"
4,0.0005,2.994500417,1,2,3,100,0.0835466562914195,202765293,7814045.344834441,7,"4728293;1217257;207115;32842;5734;944;164;29","0.08306745275867071;0.01093393015028254;-0.002892519551129334;-0.003529417565884048;-0.002246786225676391;-0.001140338798451056;-0.0004185287526972063;-0.0002271357236956963","0.01381220863998659;0.007316455131178686;0.001691766063568886;0.0003414155323627554;8.372397279855601e-05;1.82042912827472e-05;4.784707379621117e-06;4.075342466988791e-07"
