run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,1.148985625,1,2,3,100,0.08351950440900195,63621822,1495010.506880091,7,"1310222;334206;56947;9146;1583;304;53;10","0.08316469830091891;0.01088393041073065;-0.002379664254278755;-0.003684225943656323;-0.002638585093718573;-0.001488133628195061;-0.0004003064448218769;6.179106202296274e-05","0.01386269404316391;0.007266280421963903;0.001685519671517934;0.0003441349739108611;8.454225982701478e-05;2.380309290707605e-05;4.792096947530786e-06;3.118835142829318e-07"
1,0.001,1.086540416,1,2,3,100,0.08351950440900195,63621822,1495010.506880091,7,"1310222;334206;56947;9146;1583;304;53;10","0.08316469830091891;0.01088393041073065;-0.002379664254278755;-0.003684225943656323;-0.002638585093718573;-0.001488133628195061;-0.0004003064448218769;6.179106202296274e-05","0.01386269404316391;0.007266280421963903;0.001685519671517934;0.0003441349739108611;8.454225982701478e-05;2.380309290707605e-05;4.792096947530786e-06;3.118835142829318e-07"
2,0.001,1.088067417,1,2,3,100,0.08351950440900195,63621822,1495010.506880091,7,"1310222;334206;56947;9146;1583;304;53;10","0.08316469830091891;0.01088393041073065;-0.002379664254278755;-0.003684225943656323;-0.002638585093718573;-0.001488133628195061;-0.0004003064448218769;6.179106202296274e-05","0.01386269404316391;0.007266280421963903;0.001685519671517934;0.0003441349739108611;8.454225982701478e-05;2.380309290707605e-05;4.792096947530786e-06;3.118835142829318e-07"
3,0.001,1.2043975,1,2,3,100,0.08351950440900195,63621822,1495010.506880091,7,"1310222;334206;56947;9146;1583;304;53;10","0.08316469830091891;0.01088393041073065;-0.002379664254278755;-0.003684225943656323;-0.002638585093718573;-0.001488133628195061;-0.0004003064448218769;6.179106202296274e-05","0.01386269404316391;0.007266280421963903;0.001685519671517934;0.0003441349739108611;8.454225982701478e-05;2.380309290707605e-05;4.792096947530786e-06;3.118835142829318e-07"
4,0.001,1.105419417,1,2,3,100,0.08351950440900195,63621822,1495010.506880091,7,"1310222;334206;56947;9146;1583;304;53;10","0.08316469830091891;0.01088393041073065;-0.002379664254278755;-0.003684225943656323;-0.002638585093718573;-0.001488133628195061;-0.0004003064448218769;6.179106202296274e-05","0.01386269404316391;0.007266280421963903;0.001685519671517934;0.0003441349739108611;8.454225982701478e-05;2.380309290707605e-05;4.792096947530786e-06;3.118835142829318e-07"
