run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,0.231487792,1,3,3,100,0.08335385792858123,3676523,82167.81561957412,6,"410955;58820;7752;1042;127;14;3","0.05556983835258533;0.01728382993886813;0.00624907115600903;0.002484962871815268;0.0012301837413583;0.0004488000994016696;8.717176854349899e-05","0.006211625237661338;0.001019638885308949;0.0001413601273530642;2.042093261360993e-05;2.422405755049182e-06;2.229482227438411e-07;3.428310058127781e-08"
1,0.0005,0.251362666,1,3,3,100,0.08335385792858123,3676523,82167.81561957412,6,"410955;58820;7752;1042;127;14;3","0.05556983835258533;0.01728382993886813;0.00624907115600903;0.002484962871815268;0.0012301837413583;0.0004488000994016696;8.717176854349899e-05","0.006211625237661338;0.001019638885308949;0.0001413601273530642;2.042093261360993e-05;2.422405755049182e-06;2.229482227438411e-07;3.428310058127781e-08"
2,0.0005,0.307933875,1,3,3,100,0.08335385792858123,3676523,82167.81561957412,6,"410955;58820;7752;1042;127;14;3","0.05556983835258533;0.01728382993886813;0.00624907115600903;0.002484962871815268;0.0012301837413583;0.0004488000994016696;8.717176854349899e-05","0.006211625237661338;0.001019638885308949;0.0001413601273530642;2.042093261360993e-05;2.422405755049182e-06;2.229482227438411e-07;3.428310058127781e-08"
3,0.0005,0.272263458,1,3,3,100,0.08335385792858123,3676523,82167.81561957412,6,"410955;58820;7752;1042;127;14;3","0.05556983835258533;0.01728382993886813;0.00624907115600903;0.002484962871815268;0.0012301837413583;0.0004488000994016696;8.717176854349899e-05","0.006211625237661338;0.001019638885308949;0.0001413601273530642;2.042093261360993e-05;2.422405755049182e-06;2.229482227438411e-07;3.428310058127781e-08"
4,0.0005,0.232842583,1,3,3,100,0.08335385792858123,3676523,82167.81561957412,6,"410955;58820;7752;1042;127;14;3","0.05556983835258533;0.01728382993886813;0.00624907115600903;0.002484962871815268;0.0012301837413583;0.0004488000994016696;8.717176854349899e-05","0.006211625237661338;0.001019638885308949;0.0001413601273530642;2.042093261360993e-05;2.422405755049182e-06;2.229482227438411e-07;3.428310058127781e-08"
