run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,1.298181375,1,2,3,100,0.08328044096898496,37510076,2904214.447257777,7,"1009908;256777;43322;7326;1097;187;26;5","0.08325963733513887;0.01148041048312023;-0.003094626824393298;-0.003796233130870424;-0.002579115674644783;-0.0009474656865253122;-0.0009668397454075071;-7.532578743283321e-05","0.01391938333892631;0.007202037866781681;0.001641139282433742;0.0003724700364694775;6.593581969656506e-05;1.542094597104488e-05;2.412239394199863e-06;6.058663827937008e-07"
1,0.001,1.174129958,1,2,3,100,0.08328044096898496,37510076,2904214.447257777,7,"1009908;256777;43322;7326;1097;187;26;5","0.08325963733513887;0.01148041048312023;-0.003094626824393298;-0.003796233130870424;-0.002579115674644783;-0.0009474656865253122;-0.0009668397454075071;-7.532578743283321e-05","0.01391938333892631;0.007202037866781681;0.001641139282433742;0.0003724700364694775;6.593581969656506e-05;1.542094597104488e-05;2.412239394199863e-06;6.058663827937008e-07"
2,0.001,1.187600667,1,2,3,100,0.08328044096898496,37510076,2904214.447257777,7,"1009908;256777;43322;7326;1097;187;26;5","0.08325963733513887;0.01148041048312023;-0.003094626824393298;-0.003796233130870424;-0.002579115674644783;-0.0009474656865253122;-0.0009668397454075071;-7.532578743283321e-05","0.01391938333892631;0.007202037866781681;0.001641139282433742;0.0003724700364694775;6.593581969656506e-05;1.542094597104488e-05;2.412239394199863e-06;6.058663827937008e-07"
3,0.001,1.175585709,1,2,3,100,0.08328044096898496,37510076,2904214.447257777,7,"1009908;256777;43322;7326;1097;187;26;5","0.08325963733513887;0.01148041048312023;-0.003094626824393298;-0.003796233130870424;-0.002579115674644783;-0.0009474656865253122;-0.0009668397454075071;-7.532578743283321e-05","0.01391938333892631;0.007202037866781681;0.001641139282433742;0.0003724700364694775;6.593581969656506e-05;1.542094597104488e-05;2.412239394199863e-06;6.058663827937008e-07"
4,0.001,1.160050084,1,2,3,100,0.08328044096898496,37510076,2904214.447257777,7,"1009908;256777;43322;7326;1097;187;26;5","0.08325963733513887;0.01148041048312023;-0.003094626824393298;-0.003796233130870424;-0.002579115674644783;-0.0009474656865253122;-0.0009668397454075071;-7.532578743283321e-05","0.01391938333892631;0.007202037866781681;0.001641139282433742;0.0003724700364694775;6.593581969656506e-05;1.542094597104488e-05;2.412239394199863e-06;6.058663827937008e-07"
