run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,35.355790166,1,2,3,100,0.08192898113340254,689301914,87780.84123264199,9,"7726594;1993795;336854;56078;8729;1360;225;43;7;2","0.08310174079425223;0.01091761517534514;-0.003046761478875954;-0.003859580175196942;-0.002249903450242629;-0.00124451502991554;-0.0007807829385050543;-0.0002612994989107138;-0.0004750915843504722;-0.0001724406801975331","0.01382129149090702;0.007364295086745229;0.001679353958479602;0.0003725235604457148;7.238617340490386e-05;1.386401662869798e-05;2.973130873848977e-06;8.544675157932219e-07;1.334801185757375e-07;7.153324424298014e-11"
1,0.0005,35.284744917,1,2,3,100,0.08192898113340254,689301914,87780.84123264199,9,"7726594;1993795;336854;56078;8729;1360;225;43;7;2","0.08310174079425223;0.01091761517534514;-0.003046761478875954;-0.003859580175196942;-0.002249903450242629;-0.00124451502991554;-0.0007807829385050543;-0.0002612994989107138;-0.0004750915843504722;-0.0001724406801975331","0.01382129149090702;0.007364295086745229;0.001679353958479602;0.0003725235604457148;7.238617340490386e-05;1.386401662869798e-05;2.973130873848977e-06;8.544675157932219e-07;1.334801185757375e-07;7.153324424298014e-11"
2,0.0005,35.170434,1,2,3,100,0.08192898113340254,689301914,87780.84123264199,9,"7726594;1993795;336854;56078;8729;1360;225;43;7;2","0.08310174079425223;0.01091761517534514;-0.003046761478875954;-0.003859580175196942;-0.002249903450242629;-0.00124451502991554;-0.0007807829385050543;-0.0002612994989107138;-0.0004750915843504722;-0.0001724406801975331","0.01382129149090702;0.007364295086745229;0.001679353958479602;0.0003725235604457148;7.238617340490386e-05;1.386401662869798e-05;2.973130873848977e-06;8.544675157932219e-07;1.334801185757375e-07;7.153324424298014e-11"
3,0.0005,35.296909542,1,2,3,100,0.08192898113340254,689301914,87780.84123264199,9,"7726594;1993795;336854;56078;8729;1360;225;43;7;2","0.08310174079425223;0.01091761517534514;-0.003046761478875954;-0.003859580175196942;-0.002249903450242629;-0.00124451502991554;-0.0007807829385050543;-0.0002612994989107138;-0.0004750915843504722;-0.0001724406801975331","0.01382129149090702;0.007364295086745229;0.001679353958479602;0.0003725235604457148;7.238617340490386e-05;1.386401662869798e-05;2.973130873848977e-06;8.544675157932219e-07;1.334801185757375e-07;7.153324424298014e-11"
4,0.0005,36.279807291,1,2,3,100,0.08192898113340254,689301914,87780.84123264199,9,"7726594;1993795;336854;56078;8729;1360;225;43;7;2","0.08310174079425223;0.01091761517534514;-0.003046761478875954;-0.003859580175196942;-0.002249903450242629;-0.00124451502991554;-0.0007807829385050543;-0.0002612994989107138;-0.0004750915843504722;-0.0001724406801975331","0.01382129149090702;0.007364295086745229;0.001679353958479602;0.0003725235604457148;7.238617340490386e-05;1.386401662869798e-05;2.973130873848977e-06;8.544675157932219e-07;1.334801185757375e-07;7.153324424298014e-11"
