eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4
0.001,0.4978114792563543,164393794,22793723.0705135,256.939874564,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,253.2746523,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,257.771267886,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,253.691007228,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,252.74310548,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,252.772223456,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,259.418922748,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,254.82419228,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,258.559218279,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
0.001,0.4978114792563543,164393794,22793723.0705135,256.631473745,14656482,2775924,462127,79244,14009,0.57236889397244,-0.05480769228169518,-0.0146504994663873,-0.003466560700400186,-0.001632662267603052,0.65345650288112,0.1874042927869615,0.04161918886244859,0.009736797316247081,0.002434706587322527
