eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.0005,0.09996135197738795,2321837,7365.830788373747,0.622419727,647701,67699,5984,624,65,5,0.1105956766951855,-0.007762510730800716,-0.001987539590083133,-0.0007209578961026771,-0.0001705453342967414,7.228833485711447e-06,0.02436281749876249,0.002128011624595156,0.0001158533988253541,8.163399540184482e-06,3.335826741107973e-07,2.458620653546739e-08
0.0005,0.1009911296488022,2313367,5501.066197247616,0.6169998330000001,649823,68199,6028,614,62,5,0.1107556241426937,-0.007544679274123229,-0.001831615043659676,-0.0004621210897057548,-2.965883745293835e-05,0.0001035797510500841,0.02456607022650192,0.002164452241647245,0.000113094513532441,7.61742848690165e-06,2.834706164225281e-07,1.836185945301482e-08
0.0005,0.1003029716303889,2331450,1306.482147924122,0.618466437,662418,69125,6110,632,50,6,0.1104190506821716,-0.007513856989815424,-0.002028590807162666,-0.0004775813221363531,-0.0001160133173872876,1.996338471900182e-05,0.02438726122250104,0.002128104270724933,0.0001121426221198477,5.399170874743332e-06,4.482295866330853e-07,4.36087127801851e-09
0.0005,0.09982335338149183,2386674,9677.225638026761,0.632140139,669922,70858,6263,615,58,6,0.1104239364674565,-0.007632365327629377,-0.002008520993228921,-0.0006143933193605143,-0.00025379334764658,-9.151009809928688e-05,0.02436700292595903,0.002174289447475084,0.0001157295840781336,6.81145484131669e-06,4.854866073073117e-07,3.230134862755601e-08
0.0005,0.1005404239995176,2264519,1075.041832128428,0.596702592,646911,68097,6019,583,55,5,0.1105929170904875,-0.007618841341364039,-0.001807224170204332,-0.0005693692716937739,1.951149247957924e-05,-7.656980018741748e-05,0.02447832205254121,0.002174027553489422,0.0001048636677447091,6.318823685826567e-06,2.980534465186577e-07,3.588352933751329e-09
0.0005,0.1002076797043807,2603926,5251.25633013537,0.69111007,707230,74471,6583,614,66,9,0.110662231522916,-0.007430390002981462,-0.002089057244691716,-0.0004744436977653786,-0.0003666916547621633,-9.396921833458821e-05,0.02439887811255555,0.002169233637946538,0.0001113717895480725,6.564428963040148e-06,9.054958608785569e-07,1.752802588231785e-08
0.0005,0.1007791429197513,2395965,10525.12377465231,0.63383448,670637,70810,6259,609,61,6,0.1105580259344461,-0.00763891027680893,-0.001832645525624362,-0.0002710880336354189,-9.586727630398841e-05,5.962809767784553e-05,0.02460374294151602,0.002187652850393186,0.0001146886779866309,7.309864936132751e-06,4.468211799921294e-07,3.513152478922104e-08
0.0005,0.1008983235147998,2622394,6813.932585565939,0.695814484,713866,74662,6600,600,70,9,0.1108008929344591,-0.007374615139224102,-0.001860189338505961,-0.00036289522715128,-0.0002362307288376693,-6.863898594031802e-05,0.02450904134035484,0.002144472141811247,0.0001116212475571682,6.565443348622549e-06,1.005157040629666e-06,2.27440405136517e-08
0.0005,0.1008811202897944,2257126,1911.705158491837,0.608363046,646542,67243,5944,640,49,5,0.1107177348740386,-0.007404290615303372,-0.002164450347974359,-0.000325861507158415,1.4851417838781e-05,4.313646835317534e-05,0.02455259053991931,0.002126534554678997,0.0001206393302707451,5.160297694198987e-06,3.132388577484713e-07,6.381028727375355e-09
0.0005,0.1009535180320208,2333569,715.1745754629474,0.61767261,657881,68637,6067,634,53,6,0.1107112502281027,-0.007343431144688882,-0.002039430119346674,-0.0003339091778156006,-1.469744216275749e-05,-2.626431206798383e-05,0.02452604446333699,0.00213190518355667,0.000117888296009785,5.978561006869207e-06,3.936895290892424e-07,2.387161791579706e-09
0.001,0.1009214649147225,507160,801.7301688714916,0.13270224,154360,16308,1442,142,14,nan,0.1107836684819862,-0.007254474317722848,-0.001903951183176548,-0.0006231935861169244,-8.058448024732872e-05,nan,0.02442094557435879,0.002221778416945969,0.0001024163090797423,5.87054092856719e-06,8.563663414564105e-08,nan
0.001,0.100337526678687,527441,1544.284713947843,0.13794463,159345,16940,1498,139,16,nan,0.1111455690939112,-0.008108636216998324,-0.001784012374002493,-0.0008759664118673895,-3.942741235605269e-05,nan,0.02466278510640933,0.002202622423253384,9.249824465013456e-05,7.418125804559157e-06,1.64952436866892e-07,nan
0.001,0.09977133737844918,548162,3036.792209847561,0.144345066,160226,16820,1487,165,18,nan,0.1105950013729965,-0.007695319529192434,-0.002451641756598861,-0.000693930198870269,1.722749011424412e-05,nan,0.02397099487569504,0.002145417873481229,0.0001304102136867473,8.967389171091937e-06,3.243743014150354e-07,nan
0.001,0.1012204165447876,577714,4888.421986586249,0.151498364,168882,17936,1586,160,20,nan,0.1107772164628169,-0.00758358980239868,-0.001651747346676387,-0.0003406279521264301,1.916518317216072e-05,nan,0.0245671482742279,0.002213614678253908,0.0001006022540286364,1.040368463818664e-05,5.22155734521069e-07,nan
0.001,0.09974696580780094,517956,5161.803584551491,0.135241761,156444,16533,1462,153,14,nan,0.11078085720184,-0.007937896117313164,-0.002363499187572805,-0.0003944114830254974,-0.0003380846061275594,nan,0.02468635312996056,0.002205379882405767,0.0001171508211671174,6.001942578311066e-06,5.513569306292982e-07,nan
0.001,0.1010148952823492,537972,3796.198639836656,0.141860371,156596,16392,1558,174,15,nan,0.1112860233527629,-0.007631634155227193,-0.002406578089956857,-0.0004214826463847147,0.0001885668211550775,nan,0.02481439795940474,0.002164812050819932,0.0001360584934157114,6.491945162503947e-06,4.054901345691792e-07,nan
0.001,0.1009471651826281,499225,2081.394901924261,0.130510529,151681,16035,1418,155,12,nan,0.110976845166337,-0.007556463479864331,-0.001959588065667891,-0.0004013174061415003,-0.0001123110320351847,nan,0.02467599223446412,0.002219314605551827,0.0001153426941040429,4.706590748051579e-06,2.223237451318373e-07,nan
0.001,0.1005613690404832,528019,4514.744959154988,0.138588107,156163,16578,1466,164,15,nan,0.1106196221541437,-0.007744404223190542,-0.001883387749717259,-0.0004812875314747912,5.082639072211734e-05,nan,0.02449862975814072,0.002187202130701933,0.0001249305116610792,6.557639078866617e-06,4.822415038618873e-07,nan
0.001,0.1007105342547836,518931,2227.331264099289,0.135947292,156547,16298,1441,153,15,nan,0.1105482844214006,-0.007345598819514121,-0.002106679200320093,-0.0004924718055134615,0.000106999658730706,nan,0.02447923575596776,0.002165795349235089,0.0001211850534220665,7.237331210612427e-06,2.379119060135964e-07,nan
0.001,0.1006871069631795,541094,2978.493497709413,0.141640118,156958,16681,1741,152,15,nan,0.1106167876132748,-0.007376681756318768,-0.00188119808814645,-0.0004476119514484633,-0.0002241888541816193,nan,0.02440880704657446,0.002226728029568106,0.0001122460620368705,7.002852616063181e-06,3.181471371191426e-07,nan
0.005,0.09497487472141534,20967,244.8637249162325,0.005550019,5887,573,100,8,nan,nan,0.1078669893920878,-0.008708756579781313,-0.003035644374920565,-0.001147713715970591,nan,nan,0.02307468912253495,0.001964904719415991,0.0001610395489585645,5.232130874278472e-06,nan,nan
0.005,0.1007003182358068,22398,433.7686002503743,0.005865611,6102,725,100,8,nan,nan,0.1098569365306069,-0.006365928924097664,-0.002769337262034865,-2.135210866762534e-05,nan,nan,0.02409918971883815,0.002815893999779124,0.0001706377609931697,9.268559834409708e-06,nan,nan
0.005,0.1040165651346251,22016,123.7105801240741,0.005709743,6728,663,100,7,nan,nan,0.1127158619535178,-0.006938528937452399,-0.001216647932600806,-0.0005441199488395268,nan,nan,0.02419887582011715,0.002371121843191543,0.0001340113764540016,2.643388464189617e-06,nan,nan
0.005,0.1042386812619255,19825,24.10424258247441,0.005299221,5481,609,100,6,nan,nan,0.1091136820947381,-0.005574599188505018,0.001286862003569844,-0.000587263647877422,nan,nan,0.02271981473837902,0.002324824812640109,9.321604099083326e-05,5.150479184289403e-07,nan,nan
0.005,0.1000951814757192,20145,114.8716776363856,0.005238885,5745,616,100,6,nan,nan,0.1114679993971163,-0.007909411487821674,-0.002645583539857266,-0.0008178228937180612,nan,nan,0.02585175853066735,0.002360676010250026,8.259401426298527e-05,2.454523026418496e-06,nan,nan
0.005,0.1014563904810293,19012,454.6891038729685,0.004972014,5460,574,100,5,nan,nan,0.1112236175092587,-0.007855963808295922,-0.0007944606007215007,-0.001116802619211998,nan,nan,0.02357995280978196,0.002068620391576915,6.632756432581826e-05,9.715579142584798e-06,nan,nan
0.005,0.1037372214308773,20578,499.3704444370368,0.005401528,5762,604,100,7,nan,nan,0.1121368125166853,-0.004896845084219124,-0.001733611824226876,-0.001769134177362039,nan,nan,0.02423971558464949,0.002069325981212253,7.962459697807409e-05,1.067030864181703e-05,nan,nan
0.005,0.1060952229468298,19654,69.81193401735439,0.005134899,5726,557,100,6,nan,nan,0.1125152721962545,-0.003626779588737062,-0.003200821464038181,0.0004075518033505217,nan,nan,0.02518814105367219,0.001948512672707249,0.0001001634466925786,1.491707991823812e-06,nan,nan
0.005,0.1033126459901723,19090,179.3263371051185,0.005036523,5418,525,100,6,nan,nan,0.1104212585197621,-0.007204138692137546,-0.0006531757003336165,0.000748701862881357,nan,nan,0.02385698617885183,0.001941047337213139,9.744439788562298e-05,3.831759339852958e-06,nan,nan
0.005,0.09930551419861779,21158,141.3510377971931,0.005536455,5918,657,100,7,nan,nan,0.1113514188076577,-0.008747421903142922,-0.002642137241491076,-0.0006563454644059172,nan,nan,0.02408060354391011,0.002620925422252288,0.0001281185165588909,3.020321320452845e-06,nan,nan
0.01,0.1087352286316151,10664,128.2267484433331,0.002933539,1680,195,100,2,nan,nan,0.1126600234063804,-0.004515935348488868,-3.873899047747718e-05,0.0006298795642010538,nan,nan,0.02785138992695724,0.00292144926920538,6.871337549885214e-05,1.095955114900283e-05,nan,nan
0.01,0.09994790943789625,11613,59.97705529904209,0.003135583,1901,286,100,2,nan,nan,0.117359503995639,-0.01290585032992566,-0.001790988263355157,-0.002714755964461882,nan,nan,0.0298773150042585,0.003315174588121386,0.0001176965225884764,5.12624404265317e-06,nan,nan
0.01,0.1043133955957945,9511,0.0230558063564683,0.002585636,1287,100,100,2,nan,nan,0.1112105230919943,-0.00591639158443158,-0.001067498134083808,8.676222231552374e-05,nan,nan,0.02480545867347257,0.001013525324155145,0.0001116692227190273,1.970581739869085e-09,nan,nan
0.01,0.1009951068865529,10197,115.5007637760154,0.002760287,1493,160,100,2,nan,nan,0.1125423268061431,-0.006209913256720045,-0.002809124810934066,-0.002528181851936101,nan,nan,0.02551337114476074,0.002321959482848873,0.0001084385807326137,9.871860151796185e-06,nan,nan
0.01,0.1020154203490823,9866,40.99849655937449,0.00269717,1362,135,100,2,nan,nan,0.1096288165776386,-0.004892127966551641,-0.0009200824145886894,-0.001801185847415885,nan,nan,0.02385413831289667,0.0018949818996338,0.0001137239597772391,3.504145005074743e-06,nan,nan
0.01,0.09967236005859084,10696,417.7147266578313,0.002928928,1680,135,100,3,nan,nan,0.109984338681496,-0.00561124196970935,-0.001892925197112616,-0.002807811456083218,nan,nan,0.02423416171386882,0.001429849100382002,0.0001451706077592381,3.570211338955823e-05,nan,nan
0.01,0.1031770876401989,10089,1.635625589795677,0.00273277,1393,159,100,2,nan,nan,0.1132590992012689,-0.009780645520950319,-0.0009054570274745593,0.0006040909873548887,nan,nan,0.02366540022420751,0.002301977691964974,0.000119799189605698,1.397970589568955e-07,nan,nan
0.01,0.1000160397310616,9840,0.02748324578423405,0.002665769,1440,122,100,2,nan,nan,0.1088214922222352,-0.007429118377533734,-0.002033052599277087,0.000656718485637196,nan,nan,0.02655393490212842,0.001701418228926893,8.525609882532936e-05,2.34899536617385e-09,nan,nan
0.01,0.09906777157103269,10121,6.898286101145061,0.00284214,1441,157,100,2,nan,nan,0.1091335298321415,-0.009513688253918328,-0.001267789902893749,0.0007157198957032165,nan,nan,0.02534110106167105,0.002352985188636536,9.006334426618816e-05,5.89597102661971e-07,nan,nan
0.01,0.1008609130641614,10270,0.04539509930279778,0.002939641,1518,166,100,2,nan,nan,0.1127551938884123,-0.009738284621796186,-0.001643934468721851,-0.0005120617337329193,nan,nan,0.02520806162648213,0.002481190207971645,0.0001274038700585169,3.879923017333144e-09,nan,nan
0.05,0.1399931259972877,7812,0,0.002217469,100,100,100,1,nan,nan,0.1456982482778915,-0.004738731797421713,-0.001907716155330056,0.0009413256721479447,nan,nan,0.0413273121853709,0.002228950324921724,0.0001046820006439995,0,nan,nan
0.05,0.1267472180609832,7300,5.66872178543295,0.001989834,100,100,100,nan,nan,nan,0.1385313899737282,-0.009911834676950263,-0.001872337235794681,nan,nan,nan,0.03320829333241472,0.001213940363331273,9.706715386015328e-05,nan,nan,nan
0.05,0.08029284780290757,7300,7.095770053872252,0.002007168,100,100,100,nan,nan,nan,0.09601868502375195,-0.01390795930458307,-0.001817877916261316,nan,nan,nan,0.01282847702772963,0.00246833406839202,0.0001215029118813742,nan,nan,nan
0.05,0.1090590634866092,7300,6.41292591284911,0.002049769,100,100,100,nan,nan,nan,0.1156769508601448,-0.004679742897898865,-0.001938144475636793,nan,nan,nan,0.02677679814739584,0.001319419141991473,0.000109810375220019,nan,nan,nan
0.05,0.121790366334668,7300,7.907727885714198,0.002089703,100,100,100,nan,nan,nan,0.1293402517155384,-0.00618698119643967,-0.001362904184430692,nan,nan,nan,0.0343232140281231,0.001712565718214621,0.0001354062994129144,nan,nan,nan
0.05,0.1012067395345188,7300,4.974648102420801,0.002054011,100,100,100,nan,nan,nan,0.1140307128364732,-0.01249439923610732,-0.0003295740658470695,nan,nan,nan,0.01812784988405912,0.001999771650424442,8.518233052090413e-05,nan,nan,nan
0.05,0.1063763863667005,7300,7.49698654987808,0.002044554,100,100,100,nan,nan,nan,0.1041131253612756,0.005080922919491237,-0.00281766191406633,nan,nan,nan,0.01835967334772126,0.001717221896399996,0.0001283730573609261,nan,nan,nan
0.05,0.09188277090408395,7300,5.52772408566729,0.002027857,100,100,100,nan,nan,nan,0.1041633533724695,-0.009970233361283444,-0.002310349107102109,nan,nan,nan,0.02191720488230512,0.002562558876958538,9.465280968608375e-05,nan,nan,nan
0.05,0.07770266774655832,7300,6.820180983156444,0.001993376,100,100,100,nan,nan,nan,0.09263615302631155,-0.01296112910379933,-0.001972356175953901,nan,nan,nan,0.01493920673647348,0.002702096555127391,0.0001167839209444597,nan,nan,nan
0.05,0.1210659207860851,7300,7.410157277389387,0.001978188,100,100,100,nan,nan,nan,0.117125568685128,0.005216820933616244,-0.001276468832659107,nan,nan,nan,0.02120349678506158,0.001677108219129074,0.0001268862547498183,nan,nan,nan
