run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.002532167,2,4,3,100,0.07441906930900394,10193,848.6352148963261,2,"1881;239;100","0.05467593167585918;0.01397279705247973;0.005770340580665024","0.006305272455048789;0.001003047526192316;0.0001453142491260832"
1,0.005,0.002318042,2,4,3,100,0.0823941340361791,9755,702.9016140895217,2,"1603;219;100","0.05754364671777759;0.01866537274987674;0.00618511456852478","0.006206576746970097;0.0009104044906257891;0.000120359865426288"
2,0.005,0.002444,2,4,3,100,0.07464972202405257,10071,853.053153157512,2,"1455;277;100","0.05220171144709763;0.01567613827823883;0.006771872298716105","0.005134993758152142;0.0008915348472601626;0.0001460707454036836"
3,0.005,0.00257075,2,4,3,100,0.08047503451548341,10791,1022.602978583039,2,"1919;309;100","0.05702689908063397;0.01772683163640125;0.005721303798448179","0.00659174723418013;0.001246743330432625;0.0001751032497573697"
4,0.005,0.002592209,2,4,3,100,0.07591279871671293,10225,704.8193839097223,2,"1545;285;100","0.04989101491120944;0.01907927784557356;0.00694250595992993","0.004885983101225549;0.001376828258450055;0.000120688250669473"
5,0.005,0.002351167,2,4,3,100,0.08024956361074967,9810,975.736034114892,2,"1610;225;100","0.05492023041431932;0.01809541489704274;0.007233918299387611","0.005775266537206608;0.0008763862876258888;0.0001670780880333719"
6,0.005,0.002414542,2,4,3,100,0.07941596538781198,10012,715.1117136496284,2,"1684;241;100","0.05660917439702309;0.01765377187203567;0.00515301911875323","0.00642353403449976;0.001050028784602657;0.000122450635898909"
7,0.005,0.002593125,2,4,3,100,0.07937535653644007,10928,808.2419133283336,2,"2088;305;100","0.0578209895130572;0.01545578185353832;0.006098585169844557","0.006750284989195927;0.001131925305865387;0.0001383975878986873"
8,0.005,0.002384792,2,4,3,100,0.07891998251498046,9775,817.1783079228605,2,"1639;217;100","0.05572820811087155;0.01656520725704124;0.006626567147067666","0.005901603869304553;0.0008910806626825374;0.0001399277924525446"
9,0.005,0.002607666,2,4,3,100,0.07371900631002354,10607,669.5570010031397,2,"2263;243;100","0.05403397685245242;0.01453365966812083;0.005151369789450288","0.00620463285436849;0.000973518709522215;0.0001146501714046472"
