run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,0.975161875,1,3,3,100,0.08280865275575292,3804054,18374.64455594242,6,"415854;59789;7955;1041;128;17;3","0.05548648980925078;0.0169448194971849;0.006062314996484085;0.002571864379352623;0.0009394631295342524;0.00066476674398349;0.000138934199962785","0.006141270848350569;0.001016024021110707;0.0001429635720516922;1.993671391870626e-05;2.451908515870896e-06;3.303523767793541e-07;7.666502787090494e-09"
1,0.0005,0.8414735,1,3,3,100,0.0833443738509185,3337004,43347.98139030159,6,"394820;57533;7788;1026;116;14;2","0.05523134873734253;0.01708771000695141;0.006498864267668553;0.00275603438204317;0.0009159835988761337;0.0005048795440900488;0.000349553313946642","0.006116063745192782;0.001027785957826962;0.0001502446620803072;2.111139801404508e-05;2.049711511988612e-06;2.103625218031198e-07;1.808619585166442e-08"
2,0.0005,0.867157042,1,3,3,100,0.08225482811478535,3424923,14597.08023008728,6,"405843;58337;7721;980;124;16;2","0.05528340020384053;0.0169313586561802;0.006076103214541038;0.002413069632235735;0.000892849296350929;0.000630211147711559;2.783596392533921e-05","0.006114721695994686;0.001021596532449846;0.0001399655156711012;1.887241317586823e-05;2.208424319430663e-06;2.842974361891047e-07;6.090379377224801e-09"
3,0.0005,1.504807833,1,3,3,100,0.08386128199770382,5649052,0,7,"413724;60088;7955;1044;130;17;2;1","0.05529258205949271;0.01719375742137256;0.006405158885156375;0.002764257823655957;0.00116070915473358;0.0004665732912973879;0.0004681855846732676;0.0001100577773220021","0.00612307624305793;0.001036125128424942;0.0001466184104179382;1.975637171975203e-05;2.366479764489437e-06;3.40987038625879e-07;3.985334614763441e-09;0"
4,0.0005,1.078166416,1,3,3,100,0.08265182756961843,4233915,130104.6177274478,6,"448251;64488;8762;1083;158;22;3","0.05525739217361879;0.01705505265724521;0.006206981546758178;0.002171017456380933;0.001042387755261343;0.0005881134945988628;0.0003308824857551236","0.006133523073932676;0.001019967497390874;0.0001477756021201883;1.870546869326365e-05;3.073754289701812e-06;3.867244168027885e-07;5.428390254755942e-08"
