Pf,Pc
1.006102165333115986e-02,5.729485626344912180e-02
4.533303601676076378e-01,5.382494725740574193e-01
1.187385370736519178e-03,1.102233927394720557e-05
4.319228335171242383e-01,3.597714253585788113e-01
2.451686900133435987e-02,9.372557611108365844e-04
6.772505440987512670e-02,1.533286753216099030e-01
7.718666428970881455e-02,2.153364145757600545e-01
1.252563799363348544e-02,2.518406226757989586e-02
9.796995067629151593e-03,7.606118978359826567e-04
1.700782487250435959e-01,2.793090227850241192e-01
2.471512962098273807e-03,1.718063778551393375e-02
2.584117329268151297e-01,3.381913423544307129e-01
6.608287943784296736e-02,3.875152397821760714e-02
1.671171664080931818e-01,2.154120046294541180e-01
5.140636099469816228e-02,5.480407906315808153e-02
5.600730703047236692e-02,1.281120582036118782e-01
2.157260684310306764e-02,4.887529468548269460e-03
5.562859943953456926e-02,4.667081487562197567e-02
7.274231828750374329e-02,4.245986104356387451e-03
4.559655529213926112e-02,1.110766086272851061e-01
3.264792945646723815e-02,1.109044143189382575e-01
9.871491895109997874e-03,1.158545513508691706e-02
3.607924960912538281e-02,4.725759347196179655e-02
4.371125821276743671e-03,6.790499741393939484e-03
1.419615822369290903e-01,1.366966165607053363e-01
1.601536204612181713e-01,1.798137542692891111e-01
4.639998844557842450e-02,5.765613438818194270e-02
4.378750269509335685e-02,1.541787845251499367e-01
9.235931735286820321e-02,8.969159114438030045e-02
1.056458591539866923e-03,7.386411971207943827e-05
1.191558932398187678e-02,1.252093410472502472e-02
1.882726744913275629e-01,3.490441877317343455e-01
1.925776694249628496e-02,3.912832749263771975e-02
1.720146267498612880e-01,1.186127004698753068e-01
5.529840521818019626e-03,6.923811381929568035e-05
1.163957380064501307e-01,2.418212272466188362e-01
2.396638651659110998e-05,9.991212262869309023e-05
4.911175258563606899e-02,4.551731398553750946e-02
7.354880684931747181e-02,1.212354217691390679e-01
1.030537151038488482e-04,1.638236747505611608e-03
2.790230732455865059e-01,1.256116347296838687e-01
5.896233575388981629e-02,1.566295636877276798e-01
2.011163821937822331e-03,1.698382133043273247e-03
3.187619300790005550e-01,3.125936500379907224e-01
1.135178494580661723e-01,1.472705137674108211e-01
3.715422322625290216e-05,1.804299010228569821e-04
7.591810850318751443e-04,1.185940442879464610e-02
1.732739400083171261e-02,1.929371061745510218e-03
1.107632212437126562e-01,1.369025925987799597e-01
2.119234699221004270e-01,1.563584108101255532e-01
7.577749584269970889e-03,2.176119241519017949e-02
2.925463512604516494e-02,5.376438723661607078e-02
8.330580003977705594e-02,1.103294960572819422e-01
6.756718680616018435e-01,6.699987606464312684e-01
1.037082275708066104e-01,1.375991280987911847e-01
1.762955737073539642e-01,1.187919817444121340e-01
2.000184443469438800e-01,2.613601898386564981e-01
1.459470775163376199e-01,5.511983977289131725e-02
9.610097403297164498e-02,7.892794893261290134e-02
5.564210292762931248e-02,4.205205710652908796e-02
2.074969800355599362e-03,1.862442843767153286e-02
6.471924485251636661e-01,7.541761094783658859e-01
4.148385382720620046e-02,6.240755557411506449e-02
2.296056763950255208e-01,2.570283526128122054e-01
6.526229527856201862e-02,1.183870777754131021e-01
7.430235031168201665e-02,1.628024543401935254e-01
1.594477514029851370e-02,3.749329279985006563e-02
2.395776799255761383e-02,2.243938440461787712e-02
1.930377226192262971e-02,5.185058505318514144e-02
3.945162749413308467e-01,4.052895990167482143e-01
5.044451965570528884e-02,1.055806241337703816e-01
4.375923125928469354e-03,1.856302449708719868e-02
1.779640925053308509e-01,1.706504081195618361e-01
4.151841126321969555e-01,6.889485095900426126e-01
9.425828530830758500e-02,1.022651020231943875e-01
2.087815554135162642e-04,1.723626706766060931e-02
5.534685794331557496e-01,6.564121012340887740e-01
1.914824108588987495e-02,1.176084128411525971e-03
3.674554348343464505e-02,8.248020812682353708e-02
8.740708809790210013e-05,3.382636061528768862e-02
1.684972695070964402e-03,1.464717987356336029e-02
1.040238904120118213e-01,8.976474121686627006e-02
2.925215086227618143e-04,2.184996876450582756e-02
7.231017913512726792e-04,2.922578518188565736e-03
2.774737271930252658e-02,3.003684779644998082e-02
1.065050084457442627e-02,4.435489058453224824e-03
1.731135460460119513e-01,1.446283621003301989e-01
1.553555841537390403e-01,1.090997764625623451e-01
1.361079382169717855e-01,1.064945977538486049e-01
1.621489534506046892e-03,6.678068314561659384e-03
2.253416975320034210e-01,3.310326361635966275e-01
3.696679699754462645e-01,3.969438294198259221e-01
2.773032502594031667e-01,2.057910572094691914e-01
5.285259759918028988e-02,1.019671960297059421e-01
2.431913523193895716e-03,1.986843792042205029e-02
2.533178073821562223e-02,3.626226853561078343e-03
3.779180319132734384e-04,2.307302485309753492e-04
2.529889269174711089e-02,7.542472438290284860e-03
4.253367318244518497e-02,6.221740700775202360e-02
4.071391747503980141e-02,5.537451082510312650e-02
2.589280485128388556e-02,1.530842591412655447e-02
7.909245667760676259e-04,9.056740775485040695e-02
4.035314007782630358e-02,6.891314346537190383e-02
3.120326950609840153e-02,1.297352146302037899e-02
1.269850180335593548e-01,1.108516484576882177e-01
1.221443885727085434e-04,2.702418238594090933e-03
2.314351820928274919e-02,3.145793633100927439e-02
6.308783730414029012e-02,1.386545637465952940e-01
3.206975108273808252e-04,4.596478007977742794e-03
1.558046041111481039e-01,1.759590510764601212e-01
5.815691268327677355e-02,8.488100247280160049e-02
1.409698199420871337e-02,1.383461039297823394e-02
1.557133385988687946e-01,1.316751515811283302e-01
3.959529606309523109e-01,3.011460402626212063e-01
9.210470245482184348e-02,1.772831020775838817e-01
4.507684337136344532e-03,6.624238070093706188e-02
5.919947892607734241e-01,4.198833757134534661e-01
4.735302912278069321e-03,8.156033069090810796e-04
8.406619309752885738e-02,6.282546890995156785e-02
6.105929212889134317e-02,1.461207529561976909e-03
1.004914379999961166e-01,1.089316535815133269e-01
3.852503255255836923e-01,3.472379272310839315e-01
8.689066322694047884e-01,7.549339845426881190e-01
2.143768915141700329e-02,7.764963073220705701e-04
1.178012658220689915e-02,1.629368113738537821e-02
7.715685936170514278e-03,8.438295220682732025e-04
3.025540903413068139e-02,1.069359870247982985e-02
2.125862705649582129e-01,2.071425345523338346e-01
3.610380602840192882e-02,1.027527823620734554e-01
1.878122950724898654e-01,2.410956831576364923e-01
2.431387733229217057e-02,8.563840819029392565e-03
1.162067962603900197e-02,6.950021859912357269e-02
4.064051266124452666e-01,5.980304669851413957e-01
7.277119651877696866e-04,6.160408370140890380e-06
6.839135129017061276e-02,1.052680869766263183e-01
4.781725134506439184e-02,2.964734649644431425e-02
1.870007493511320618e-02,2.694517373518673722e-02
4.540381225637027743e-03,5.063439180433889492e-03
4.775560887646115860e-01,3.949076647637440041e-01
