Pf,Pc
1.044345922355537776e-03,1.894991916213518523e-04
1.201985833261320358e-01,1.461030851005182818e-01
6.145449836307772910e-03,2.536932947283582402e-04
1.500105755302047483e-02,3.853203621426027747e-03
1.995325720462390665e-02,3.473755565455554500e-02
7.281905262515811494e-02,1.640077500025147739e-01
2.594680791904458439e-01,3.212738319843642110e-01
8.006781097593752882e-04,4.058713004170994720e-05
1.171239311193908884e-03,2.997702641662399522e-03
1.355604697240229972e-01,2.546381487254363307e-01
3.093721620062475641e-02,2.003597948575117776e-02
4.242427970489575650e-01,4.645085116463884001e-01
2.621026758305360430e-02,7.315451799970945981e-03
9.630550458818167361e-03,9.390336035770793788e-02
2.424943834910653906e-01,1.811659751535703300e-01
9.109282650524455627e-02,3.983124685980295177e-02
1.475576615276188719e-01,1.623485399535265217e-01
1.000452898667609364e-01,1.312740639925326913e-01
2.717250103173199632e-03,2.152383430263056507e-02
1.815890737002810729e-02,6.817179191437253150e-02
8.282122276348334589e-02,9.785583427864602557e-02
5.196843520391807025e-02,1.171177474417916045e-02
7.126060039530152102e-01,6.053738803719853623e-01
1.260150270525117223e-02,7.094541683982139024e-02
3.405187271989971835e-03,1.363322058828765788e-04
5.636241934439731316e-02,4.157920822691456297e-02
3.876243201165796570e-02,5.987288417242907224e-02
2.268673310871331845e-03,1.871570470370170422e-02
3.734725378193955690e-03,2.353379498961951158e-02
1.093686781440214757e-02,2.141166375766051858e-02
9.697937755516026700e-03,3.881613674716019591e-02
4.541339204697862966e-03,4.088624860387069654e-03
2.866751203417183466e-02,1.286414624696333858e-02
1.213478702608694572e-03,3.272394490076155956e-04
1.187884448259894504e-01,9.829258275073073092e-02
1.192351012090145934e-01,7.402583851361323186e-02
7.303126179725786260e-01,7.341885904743769009e-01
4.397099692685277859e-03,3.248853666671477035e-03
1.072363232445304460e-02,1.250310598370747012e-02
2.164962558917953028e-01,2.451664225054350499e-01
3.990218125326902565e-01,4.101210253746264134e-01
1.836385659904723328e-02,4.733363267985703053e-03
2.412444288745243506e-04,6.414735593176773673e-06
3.954617202749923302e-03,5.213557150942584560e-03
2.365756261857313580e-01,4.203934698568090877e-01
1.840654608433012576e-05,1.883249222390458947e-03
3.693888749290998308e-01,2.967700985463007091e-01
2.727474067083458104e-02,7.319918987309297596e-03
3.074250695142632418e-03,4.100828752688414139e-03
4.768802964817926010e-02,4.615981955667659842e-02
3.526021463203717066e-02,3.490997062532063405e-02
2.664085614630572196e-02,1.778721114314737659e-02
