Pf,Pc
1.585527478608407259e-01,1.583964670472981784e-01
4.280265676393119056e-02,4.029220371461238875e-02
3.134548448560531275e-02,3.164084370369014965e-02
1.983418293167629187e-01,2.021537596189997565e-01
2.003905560635415098e-02,2.236650216053452309e-02
9.787256045255070258e-02,9.655277196087118374e-02
2.264165861498654373e-03,2.537699548189744497e-03
5.463471118134760607e-02,5.836195441944085766e-02
6.299960797278493507e-03,6.377028867986386622e-03
3.310942524427168965e-01,3.330431474338227393e-01
3.017474327082976613e-03,2.473343633842169098e-03
1.462529418658328473e-01,1.452220151738119469e-01
3.273647830764081501e-02,3.603233437898737540e-02
6.107140592833882296e-03,6.697971023061404829e-03
1.749396838328034366e-06,1.738471096677506007e-06
1.074926723525797961e-01,1.074845193422348244e-01
1.342357678885683532e-03,1.677512339879500772e-03
3.142348008559157635e-01,3.184402170173048496e-01
2.220778235946740259e-02,2.200536643044424812e-02
6.495845318209307086e-03,6.282295775077124250e-03
5.091574662162045017e-01,5.005284283102501286e-01
7.383689173200981559e-02,7.480868797482531640e-02
3.665531112939584557e-01,3.657739281093417283e-01
1.060191215699438499e-01,1.046082817216440891e-01
1.236604887832585967e-03,1.064380045195605692e-03
7.209897806952032806e-02,6.751864289285131049e-02
6.138190584340356450e-04,4.132035873786966333e-04
1.358910173878986535e-02,1.440204207361493391e-02
5.080809744364193220e-02,4.812727114401801204e-02
1.853838018487392880e-01,1.883581770068719075e-01
4.980160238801373956e-02,4.959671885697877064e-02
1.538677047339791172e-03,2.048224177248009203e-03
1.906904056664495209e-02,1.811411532468552854e-02
4.676950429103709367e-02,4.534455483947141818e-02
3.316491970179987758e-01,3.243965385373616117e-01
2.754718047728856034e-02,2.827137892179098361e-02
2.009650667238777610e-01,2.015153655563815815e-01
3.598075286878582146e-03,2.916174686855425077e-03
5.158077497462509398e-04,6.729919127429276338e-04
2.271694428360799753e-02,2.276919852032333741e-02
7.030935538356049286e-02,7.311251760737767780e-02
5.574302350504764525e-02,5.420293025704997492e-02
2.473015441982677845e-04,2.711189924710266826e-04
4.733316417272608067e-04,3.229606242182534869e-04
2.978265683235111969e-02,2.880395054126736951e-02
4.332009785681702196e-02,4.194492888762159366e-02
6.297410394770338628e-03,5.523320673622425167e-03
8.005392850855341802e-02,8.275400377433091148e-02
6.734214696910194135e-03,7.292624327001734005e-03
6.146036330023181213e-03,6.506772526333866324e-03
7.272484830613164253e-02,7.129809573796268285e-02
1.853364059504267539e-02,1.669667230734820165e-02
3.543850374107270218e-01,3.509365599391418566e-01
4.330451489966149169e-03,4.396977017454406673e-03
9.499106201656139919e-03,9.040444995105270665e-03
5.920013128597414846e-03,6.239392585955253791e-03
1.444942914482307625e-05,1.345944292123082519e-04
3.613652147053105640e-02,3.591673625494648525e-02
4.702037419175395666e-02,4.660125023396940319e-02
2.082084804556053395e-02,1.965186322582681069e-02
2.331202654136378671e-01,2.333263318933443686e-01
3.261652007120271340e-02,3.246670169534692646e-02
1.167982495145166860e-01,1.159198185849280305e-01
8.054032609613752738e-03,6.887695402662673272e-03
1.761968105160053866e-01,1.778779219876072126e-01
5.714792490162932601e-03,5.435128955641123534e-03
2.277815169962944201e-03,2.155938762450078806e-03
7.086031047455258920e-03,6.469849659461665570e-03
5.676366861250827130e-03,5.556241052171102465e-03
3.419962282423372191e-02,3.345746564795210737e-02
3.008741278506660843e-01,3.055162512182499901e-01
2.136586120109421894e-01,2.135919225545713507e-01
5.667489986454536666e-02,5.746885742939727287e-02
2.252166275685114940e-05,2.155148918059435155e-05
3.127315262669790041e-02,3.046310542247182562e-02
1.204096362711602614e-01,1.208346990904076157e-01
5.133273879713660254e-03,5.953971350045047378e-03
1.369694597134998304e-01,1.395978973457716044e-01
5.738694677458863524e-05,2.240668787483827545e-05
7.295102890793883632e-02,7.312522154455258772e-02
1.215012205035761600e-01,1.210754546621868877e-01
2.087140302315860629e-03,1.761474799354771246e-03
2.374201383302089186e-01,2.410520504552041143e-01
9.924623867106144304e-03,9.934517362478724467e-03
2.163469224095999205e-02,1.993433461509669380e-02
5.978373577134107365e-03,6.407987704714049673e-03
7.059653814521688053e-02,7.245245765720116637e-02
3.664754759636033171e-02,3.696552831964029784e-02
6.741850026519954908e-02,6.562795398703974437e-02
1.627798942459446341e-02,1.715791005770266053e-02
