level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.565645,0.565645,0.636495,0.636495,14.6418,0,0.019242,10000
1,-0.0600778,0.520786,0.204394,0.557827,9.37481,0.00704061,0.107843,10000
2,-0.016776,0.50938,0.0409042,0.523485,9.34886,0.00394564,0.76379,10000
3,-0.00390715,0.501264,0.00970693,0.506864,9.08782,0.00410115,6.04037,10000
4,-0.001944,0.506883,0.0024443,0.511453,8.93734,0.00871916,48.8773,10000
5,-0.000398923,0.501485,0.000629747,0.529419,9.13579,0.00626667,394.884,10000
