level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.110426,0.110426,0.0241828,0.0241828,14.4156,0,0.00269321,10000
1,-0.00734111,0.10326,0.00214163,0.0212156,8.8179,0.000592447,0.0229128,10000
2,-0.00178788,0.101843,0.000112781,0.0210005,9.66186,0.0020736,0.187351,10000
3,-0.000533284,0.102569,6.91954e-06,0.0213629,10.1822,0.00816354,1.54078,10000
4,-0.000121139,0.0995414,3.97656e-07,0.0195993,9.39322,0.0194484,12.6028,10000
5,-3.34228e-05,0.103742,2.73927e-08,0.0210426,9.18286,0.0298312,101.892,10000
6,-8.09423e-06,0.102404,1.71266e-09,0.0202774,8.29116,0.00907419,814.283,10000
