eps,mlmc_estimate,mlmc_cost,std_mc_cost,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.001,0.570296,7.34211e+08,5.07415e+10,1.59063e+07,6.67445e+06,1.38379e+06,251933,44802,8052,0.292251,0.195203,0.0614613,0.0160243,0.00442521,0.000931698,0.170768,0.241152,0.083345,0.0220009,0.00554563,0.00129453
0.005,0.568318,1.18202e+07,2.53701e+08,403365,169444,34816,6243,1132,nan,0.291954,0.195508,0.0609093,0.0187288,0.00121853,nan,0.170883,0.241773,0.0818754,0.0211782,0.00549144,nan
0.01,0.551264,1.08833e+06,7.92646e+06,60000,26109,5252,944,nan,nan,0.291038,0.199351,0.0567068,0.00416829,nan,nan,0.165611,0.250776,0.0799494,0.0208358,nan,nan
0.05,0.581186,14855,39564.5,2503,560,123,nan,nan,nan,0.311769,0.186367,0.0830493,nan,nan,nan,0.224938,0.229074,0.0824542,nan,nan,nan
