level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.083018,0.083018,0.0134901,0.0134901,15.3946,0,0.000433792,5000
1,0.0111436,0.0931295,0.00739986,0.00778702,9.52076,0.00274866,0.0117274,5000
2,-0.00226965,0.0913394,0.00163233,0.00612652,5.99233,0.00227756,0.0606795,5000
3,-0.00351531,0.0869709,0.000354711,0.00539336,4.93813,0.00628265,0.374829,5000
4,-0.00229943,0.0856374,8.16369e-05,0.00583934,5.37725,0.00950558,3.09801,5000
5,-0.00127624,0.0859608,1.78788e-05,0.00588541,5.75493,0.0177365,25.2453,5000
6,-0.000620596,0.0838891,4.2843e-06,0.00530686,6.15014,0.0172835,203.68,5000
