eps,mlmc_estimate,mlmc_cost,std_mc_cost,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.00025,0.100754,5.11561e+08,2.34337e+10,3.06383e+07,7.62662e+06,998465,161905,28182,4812,0.166036,-0.0516994,-0.0104812,-0.00228684,-0.000547666,-0.000267572,0.0551249,0.0276941,0.00383447,0.000821581,0.000199713,4.63753e-05
0.0005,0.100794,6.03367e+07,7.32282e+08,5.23951e+06,1.30467e+06,170769,27784,4762,nan,0.16627,-0.0517422,-0.0105935,-0.00265362,-0.000486493,nan,0.0553326,0.0277339,0.0038521,0.000808997,0.000196067,nan
0.001,0.101622,1.51038e+07,1.83071e+08,1.31003e+06,327154,42713,6986,1188,nan,0.16629,-0.0513136,-0.0104421,-0.00253144,-0.000381284,nan,0.055351,0.027915,0.00385922,0.000837775,0.000188065,nan
0.005,0.0992654,269219,915157,35027,8618,1118,183,nan,nan,0.167341,-0.0536539,-0.0108752,-0.00354664,nan,nan,0.0560296,0.0274542,0.00373727,0.000788419,nan,nan
0.01,0.103909,30947,28549.8,5819,1509,204,nan,nan,nan,0.166362,-0.058129,-0.00432373,nan,nan,nan,0.0537121,0.0251746,0.00442835,nan,nan,nan
