level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.167494,0.167494,0.0593033,0.0593033,16.3181,0,0.000943375,10000
1,-0.0525543,0.114722,0.0285268,0.0262715,10.9624,0.000289649,0.0190506,10000
2,-0.0105781,0.105859,0.003963,0.0221546,8.87884,0.00486624,0.174392,10000
3,-0.00233703,0.10269,0.000841674,0.021839,9.89554,0.00350411,1.49332,10000
4,-0.000443588,0.101069,0.00019536,0.0202574,8.41017,0.00616067,12.342,10000
5,-0.000306822,0.101897,4.8955e-05,0.0203715,8.76217,0.00688934,100.348,10000
6,-4.51932e-05,0.0992209,1.20283e-05,0.0195546,8.33346,0.0170257,812.301,10000
