level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.0547425,0.0547425,0.00589963,0.00589963,17.3171,0,0.00253796,10000
1,0.0174949,0.0720662,0.000998479,0.00565752,6.50428,0.000993113,0.0220383,10000
2,0.00619,0.0783535,0.000144039,0.00559841,4.52688,0.000868624,0.189504,10000
3,0.00248625,0.0804266,1.90549e-05,0.00529264,3.80238,0.00466049,1.55834,10000
4,0.00105964,0.0823678,2.49649e-06,0.00549594,3.35137,0.0112688,12.6825,10000
5,0.000496841,0.0833952,3.14211e-07,0.00563049,3.27722,0.00692864,102.187,10000
6,0.000240243,0.0832974,3.98147e-08,0.00567763,3.20236,0.00442451,821.907,10000
