level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,0.167237,0.167237,0.0562701,0.0562701,14.5709,0,0.00286129,10000
1,-0.0518515,0.114143,0.0273669,0.0263349,9.35931,0.00168957,0.0206964,10000
2,-0.0102551,0.102254,0.00378361,0.0207448,9.41737,0.00469253,0.0960397,10000
3,-0.00241005,0.102602,0.000855266,0.0211524,9.59053,0.0118273,0.745699,10000
4,-0.000565722,0.101125,0.000196331,0.0199313,8.61051,0.00482536,6.18883,10000
5,-0.000150543,0.100264,4.91029e-05,0.0198254,8.3726,0.00434173,50.3098,10000
6,-4.01127e-05,0.100134,1.19874e-05,0.0207734,9.10907,0.000591677,410.557,10000
