run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.005380375,1,3,3,100,0.1005130582346928,20881,93.11647932567509,3,"5745;644;100;7","0.1095613808919216;-0.005716433929222474;-0.003157371454500984;-0.0001745172735053487","0.02414905372021068;0.002338977542831634;0.0001112728792720008;1.989668361659724e-06"
1,0.005,0.004886709,1,3,3,100,0.1022147604368646,20270,193.8842458542504,3,"5718;571;100;7","0.1096723867464344;-0.00586161970280563;-0.0006066695585099917;-0.000989337048254221","0.0244969584663526;0.00194267757595054;0.0001238012635576198;4.142825766116462e-06"
2,0.005,0.004947792,1,3,3,100,0.1002088584957706,20306,94.46245451438081,3,"5810;628;100;6","0.1097373810922499;-0.008096576400248605;-0.00135282102515622;-7.912517107446151e-05","0.02327311955161694;0.002605901946702341;0.0001039853309811663;2.018428515264547e-06"
3,0.005,0.005185625,1,3,3,100,0.1013015946335259,20461,386.182446417168,3,"5885;574;100;7","0.1108257550535729;-0.007472070311822799;-0.002528048628369055;0.0004759585201448492","0.0253253007356183;0.00192138009570186;0.0001204068016310311;8.251761675580512e-06"
4,0.005,0.005317458,1,3,3,100,0.1060410560184325,21913,398.159389955766,3,"6665;594;100;8","0.1151475927693787;-0.00753689489461116;-0.00119738168855921;-0.0003722601677758112","0.02703653512212285;0.001801080858824524;0.000164085596234294;8.507679272559103e-06"
5,0.005,0.005053958,1,3,3,100,0.09841988041044007,20346,40.83113791256551,3,"5778;637;100;6","0.111336096927438;-0.009858583313246039;-0.002200726353426985;-0.0008569068503248882","0.02548892122205563;0.002677987381460591;0.0001006262973703747;8.724602118069555e-07"
6,0.005,0.005436208,1,3,3,100,0.1013672976685005,22342,231.2678512303297,3,"6390;682;100;8","0.1133246721772256;-0.009514186691930807;-0.002410012417130226;-3.317539966401985e-05","0.02641052980888426;0.002391618304975032;0.00013560440715126;4.941620752784822e-06"
7,0.005,0.004981542,1,3,3,100,0.1022066719321556,19982,203.7378677963873,3,"5870;516;100;7","0.1122638436994153;-0.007698387161014885;-0.002500915082629093;0.0001421304763842263","0.02661992250503077;0.001696776249434283;0.0001211254412877094;4.35337324351255e-06"
8,0.005,0.004909209,1,3,3,100,0.1004574969392516,19701,216.9566748287016,3,"5613;577;100;6","0.1109025551669616;-0.00754639081299059;-0.003618076916686864;0.0007194095019674886","0.02511188059552377;0.002147583141150009;9.960380170823169e-05;4.635826385228666e-06"
9,0.005,0.005072,1,3,3,100,0.09076037513159166,20064,86.5587185253366,3,"5248;604;100;7","0.1056961758363883;-0.01062695273235602;-0.003781605104227209;-0.0005272428682134379","0.02206736171968249;0.002074570168346484;0.0001276962089227275;1.849545267635398e-06"
