run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,0.10617325,1,4,3,100,0.09971954231411574,446200,2711.89397961676,4,"147064;15248;1168;120;10","0.1106141654373226;-0.007805156587743801;-0.00208257547214116;-0.0008176255211425;-0.0001892655421793853","0.02433889454260034;0.002096950688962311;0.0001003310240529936;8.339393340066552e-06;2.896703674019184e-07"
1,0.001,0.103497208,1,4,3,100,0.1015355494221793,430592,1559.835605518421,4,"144360;15283;1194;99;9","0.1100024115649734;-0.006793016390007739;-0.001683617513140208;-0.0001952239628913967;0.0002049957232452318","0.0242146992030929;0.00216258748710879;0.0001110005748005015;5.685616363082523e-06;1.666135019780411e-07"
2,0.001,0.11560975,1,4,3,100,0.1002967184076289,480843,2421.291827645853,4,"153747;16175;1393;124;11","0.1102699457698462;-0.006818589716510945;-0.00241355382625531;-0.0006693664863020308;-7.171733314905029e-05","0.0244667173020981;0.002190085514716862;0.0001256881768047187;7.88639456397416e-06;2.586297615515759e-07"
3,0.001,0.110789375,1,4,3,100,0.1002314322405634,447634,1941.620145062899,4,"146170;15275;1169;116;11","0.11019967363096;-0.007778118035309812;-0.001824470255913176;-0.0004431226820187394;7.746958284513049e-05","0.0240336048064054;0.002133218308297112;0.0001038431569105813;7.38651677847962e-06;2.073937347856119e-07"
4,0.001,0.138056458,1,4,3,100,0.1013683856649911,516815,4890.923478292714,4,"205455;15688;1256;102;13","0.1112392011695156;-0.007318123790928964;-0.001998957657210281;-0.0005171440755603917;-3.658998082483382e-05","0.02474040049719844;0.002133402134382104;0.0001087150702058865;5.722233211158404e-06;5.224229308152866e-07"
